epoch,accuracy,train_loss,train_acc,time
  1, 96.970, 0.339, 88.914,174.789311170578
  2, 98.290, 0.090, 97.350,380.04090094566345
  3, 98.030, 0.069, 98.076,549.2907137870789
  4, 98.810, 0.053, 98.617,716.8446414470673
  5, 99.040, 0.046, 98.797,883.4563026428223
  6, 98.940, 0.041, 98.996,1049.4011895656586
  7, 99.200, 0.037, 99.094,1215.5617640018463
  8, 99.270, 0.037, 99.067,1382.810174703598
  9, 99.190, 0.031, 99.264,1550.123589515686
 10, 99.410, 0.030, 99.294,1716.9146761894226
 11, 99.450, 0.028, 99.386,1883.7682001590729
 12, 99.020, 0.025, 99.444,2051.0330040454865
 13, 99.400, 0.024, 99.467,2218.4764544963837
 14, 98.910, 0.023, 99.496,2385.3018441200256
 15, 99.150, 0.024, 99.491,2551.783849000931
 16, 99.360, 0.021, 99.558,2718.4399120807648
 17, 99.340, 0.021, 99.489,2884.728531360626
 18, 99.450, 0.021, 99.550,3051.0454318523407
 19, 99.410, 0.019, 99.604,3217.491521835327
 20, 99.370, 0.018, 99.624,3397.9630777835846
 21, 99.420, 0.019, 99.599,3595.2370319366455
 22, 99.330, 0.020, 99.564,3763.4305894374847
 23, 99.350, 0.020, 99.587,3930.8065514564514
 24, 99.410, 0.017, 99.713,4097.936472892761
 25, 99.460, 0.016, 99.695,4265.932378053665
 26, 99.390, 0.018, 99.634,4432.601542711258
 27, 98.910, 0.017, 99.664,4599.190064430237
 28, 99.370, 0.016, 99.732,4765.889378070831
 29, 99.410, 0.016, 99.695,4932.892348051071
 30, 99.610, 0.009, 99.921,5100.495658636093
 31, 99.600, 0.007, 99.988,5267.773665904999
 32, 99.590, 0.006, 100.032,5435.716723918915
 33, 99.600, 0.006, 100.022,5602.425563812256
 34, 99.590, 0.006, 100.050,5769.548520088196
 35, 99.600, 0.005, 100.045,5936.608146190643
 36, 99.610, 0.005, 100.062,6102.825621366501
 37, 99.600, 0.005, 100.082,6269.847389698029
 38, 99.570, 0.005, 100.082,6437.173157691956
 39, 99.630, 0.005, 100.065,6628.304434776306
 40, 99.600, 0.005, 100.075,6818.800168991089
 41, 99.550, 0.004, 100.092,6986.943843364716
 42, 99.570, 0.004, 100.080,7153.970278501511
 43, 99.550, 0.004, 100.100,7320.440136432648
 44, 99.590, 0.004, 100.095,7487.021193981171
 45, 99.550, 0.004, 100.092,7653.063823223114
 46, 99.580, 0.004, 100.109,7819.680123567581
 47, 99.570, 0.004, 100.110,7985.542853832245
 48, 99.590, 0.004, 100.114,8151.985198020935
 49, 99.630, 0.004, 100.098,8318.119019985199
 50, 99.530, 0.004, 100.087,8485.06059718132
