epoch,accuracy,train_loss,train_acc,time
  1, 12.740, 4.046, 7.736,91.80989289283752
  2, 18.410, 3.554, 15.069,183.82164120674133
  3, 23.280, 3.291, 19.429,276.6289429664612
  4, 26.250, 3.068, 23.625,368.8411238193512
  5, 29.220, 2.875, 27.550,461.33767080307007
  6, 31.820, 2.679, 31.206,554.0948176383972
  7, 31.610, 2.505, 34.802,646.2943305969238
  8, 36.140, 2.357, 37.808,739.0108637809753
  9, 40.460, 2.236, 40.418,831.5974082946777
 10, 44.230, 2.144, 42.557,923.8236632347107
 11, 43.660, 2.029, 44.981,1016.4934632778168
 12, 46.940, 1.956, 46.907,1108.809737443924
 13, 45.760, 1.888, 48.306,1200.5222594738007
 14, 46.870, 1.819, 50.023,1292.4930703639984
 15, 49.460, 1.758, 51.230,1384.5228154659271
 16, 52.120, 1.706, 52.567,1476.49977850914
 17, 49.750, 1.663, 53.527,1568.9888744354248
 18, 51.610, 1.616, 54.757,1660.6761882305145
 19, 51.430, 1.573, 55.637,1752.5052378177643
 20, 52.980, 1.521, 57.261,1844.5665912628174
 21, 55.630, 1.487, 57.858,1936.5268754959106
 22, 55.690, 1.452, 58.715,2029.453723192215
 23, 57.510, 1.419, 59.552,2121.703269004822
 24, 58.200, 1.396, 60.040,2213.689105272293
 25, 56.510, 1.361, 60.957,2305.301926136017
 26, 57.770, 1.337, 61.736,2397.7916328907013
 27, 59.230, 1.313, 62.119,2490.2493493556976
 28, 58.930, 1.287, 62.768,2582.3663659095764
 29, 59.320, 1.264, 63.430,2675.6335203647614
 30, 64.700, 0.998, 70.560,2767.4991176128387
 31, 65.370, 0.915, 72.567,2859.7501542568207
 32, 65.410, 0.878, 73.537,2951.652020215988
 33, 65.580, 0.855, 74.060,3043.5525195598602
 34, 65.770, 0.838, 74.567,3135.355495929718
 35, 65.980, 0.818, 75.202,3228.1721687316895
 36, 66.490, 0.800, 75.656,3320.059276819229
 37, 66.300, 0.783, 76.262,3411.5650374889374
 38, 65.430, 0.769, 76.484,3503.0509848594666
 39, 65.390, 0.755, 76.790,3596.5947988033295
 40, 66.850, 0.746, 77.175,3688.8198330402374
 41, 67.040, 0.730, 77.519,3781.495614528656
 42, 66.530, 0.713, 77.889,3873.0173828601837
 43, 66.680, 0.706, 78.238,3965.878476381302
 44, 66.410, 0.692, 78.676,4057.718994617462
 45, 66.920, 0.683, 78.786,4149.718102455139
 46, 66.130, 0.673, 78.993,4241.251616477966
 47, 67.120, 0.665, 79.496,4334.384103059769
 48, 66.910, 0.655, 79.690,4426.504186868668
 49, 67.220, 0.641, 79.877,4519.139771938324
 50, 66.590, 0.632, 80.146,4610.699656486511
