epoch,accuracy,train_loss,train_acc,time
  1, 84.380, 0.625, 76.785,99.09237241744995
  2, 88.830, 0.347, 87.526,198.24245309829712
  3, 89.260, 0.300, 89.296,297.8438467979431
  4, 88.010, 0.273, 90.194,400.73184967041016
  5, 90.680, 0.259, 90.839,501.0889964103699
  6, 91.090, 0.241, 91.408,599.9690945148468
  7, 90.940, 0.230, 91.830,697.8975310325623
  8, 91.380, 0.218, 92.190,801.6139979362488
  9, 91.860, 0.207, 92.683,900.6162397861481
 10, 92.280, 0.198, 92.864,999.5477123260498
 11, 92.490, 0.189, 93.180,1097.8806681632996
 12, 92.530, 0.184, 93.432,1196.7123856544495
 13, 92.610, 0.177, 93.594,1295.3382058143616
 14, 92.540, 0.176, 93.795,1397.2025768756866
 15, 92.360, 0.171, 93.945,1496.3220427036285
 16, 92.390, 0.167, 94.066,1594.517606973648
 17, 92.800, 0.164, 94.157,1692.8373148441315
 18, 92.600, 0.158, 94.487,1792.7504847049713
 19, 92.270, 0.154, 94.543,1891.1160366535187
 20, 92.410, 0.154, 94.616,1988.9625887870789
 21, 93.060, 0.150, 94.714,2087.6262171268463
 22, 92.440, 0.145, 94.777,2189.1891055107117
 23, 93.170, 0.147, 94.737,2287.8027658462524
 24, 92.590, 0.142, 95.003,2386.2458975315094
 25, 92.660, 0.140, 94.989,2484.696555376053
 26, 93.110, 0.139, 95.118,2583.5668840408325
 27, 93.030, 0.135, 95.360,2682.11612534523
 28, 92.370, 0.134, 95.219,2782.4220757484436
 29, 93.340, 0.133, 95.325,2880.6300616264343
 30, 93.920, 0.094, 96.777,2979.0318732261658
 31, 93.980, 0.081, 97.243,3080.1473004817963
 32, 94.200, 0.075, 97.443,3179.4416575431824
 33, 94.170, 0.072, 97.517,3277.418244123459
 34, 94.200, 0.067, 97.722,3376.022395133972
 35, 94.150, 0.066, 97.730,3474.046950817108
 36, 93.980, 0.064, 97.874,3571.933032989502
 37, 94.240, 0.059, 98.039,3671.8870046138763
 38, 94.310, 0.059, 98.008,3770.557322740555
 39, 94.210, 0.057, 98.078,3868.5709295272827
 40, 94.180, 0.055, 98.218,3966.505533695221
 41, 94.110, 0.055, 98.144,4065.4646372795105
 42, 94.140, 0.052, 98.335,4164.843930721283
 43, 94.140, 0.050, 98.352,4262.760751008987
 44, 94.110, 0.049, 98.374,4361.910272836685
 45, 94.100, 0.049, 98.439,4465.033594608307
 46, 94.100, 0.046, 98.503,4562.863741397858
 47, 94.150, 0.045, 98.521,4661.041685581207
 48, 94.070, 0.045, 98.522,4759.374552965164
 49, 94.100, 0.044, 98.574,4859.9055552482605
 50, 94.130, 0.042, 98.642,4958.741405725479
