epoch,accuracy,train_loss,train_acc,time
  1, 98.200, 0.284, 90.672,99.2999701499939
  2, 98.850, 0.067, 98.118,198.13093614578247
  3, 98.980, 0.050, 98.685,297.3019542694092
  4, 99.040, 0.039, 98.975,397.14000272750854
  5, 99.210, 0.034, 99.145,498.2570815086365
  6, 99.320, 0.031, 99.260,596.8714344501495
  7, 99.450, 0.027, 99.378,695.3684871196747
  8, 99.390, 0.025, 99.432,794.052686214447
  9, 99.320, 0.023, 99.474,893.5116486549377
 10, 99.210, 0.022, 99.504,996.3305675983429
 11, 99.430, 0.021, 99.578,1095.095401763916
 12, 99.290, 0.018, 99.664,1197.2634406089783
 13, 99.430, 0.018, 99.626,1296.836698770523
 14, 99.260, 0.018, 99.637,1395.394054889679
 15, 99.350, 0.018, 99.644,1493.8499329090118
 16, 99.420, 0.016, 99.688,1592.937088251114
 17, 99.450, 0.016, 99.700,1692.3084700107574
 18, 99.510, 0.014, 99.756,1790.7908265590668
 19, 99.350, 0.014, 99.791,1892.085001707077
 20, 99.280, 0.015, 99.727,1990.3454134464264
 21, 98.920, 0.015, 99.747,2089.2910339832306
 22, 99.480, 0.014, 99.743,2187.4734539985657
 23, 99.320, 0.014, 99.792,2285.7926292419434
 24, 99.120, 0.013, 99.776,2385.4905178546906
 25, 99.290, 0.014, 99.756,2483.570300102234
 26, 99.280, 0.014, 99.771,2582.0299842357635
 27, 99.510, 0.014, 99.780,2681.5083498954773
 28, 99.520, 0.012, 99.825,2779.9875586032867
 29, 99.400, 0.011, 99.855,2878.19877243042
 30, 99.590, 0.005, 100.040,2977.379914045334
 31, 99.550, 0.004, 100.095,3077.695067882538
 32, 99.610, 0.003, 100.125,3177.773185491562
 33, 99.550, 0.003, 100.127,3277.2637977600098
 34, 99.580, 0.003, 100.130,3376.7714307308197
 35, 99.560, 0.003, 100.132,3476.459248304367
 36, 99.590, 0.003, 100.134,3577.006299495697
 37, 99.590, 0.003, 100.132,3676.6762297153473
 38, 99.600, 0.003, 100.139,3776.4861607551575
 39, 99.580, 0.003, 100.144,3874.7528557777405
 40, 99.610, 0.003, 100.130,3973.187169313431
 41, 99.610, 0.002, 100.135,4071.532486438751
 42, 99.610, 0.003, 100.134,4169.991383314133
 43, 99.550, 0.002, 100.152,4268.866937637329
 44, 99.560, 0.002, 100.149,4367.813429117203
 45, 99.600, 0.002, 100.154,4466.338027000427
 46, 99.610, 0.002, 100.149,4564.3614938259125
 47, 99.590, 0.002, 100.165,4662.35896730423
 48, 99.610, 0.002, 100.152,4761.323042392731
 49, 99.620, 0.002, 100.152,4859.676641464233
 50, 99.630, 0.002, 100.174,4958.082420349121
