epoch,accuracy,train_loss,train_acc,time
  1, 37.040, 1.901, 29.133,117.96507263183594
  2, 47.260, 1.610, 40.726,236.2138500213623
  3, 54.510, 1.401, 48.911,355.11110401153564
  4, 59.080, 1.234, 55.454,473.5348162651062
  5, 62.900, 1.108, 60.364,592.230819940567
  6, 65.880, 1.023, 63.765,710.9254820346832
  7, 65.830, 0.944, 66.883,829.5453243255615
  8, 71.630, 0.870, 69.657,948.4285106658936
  9, 71.510, 0.804, 72.270,1067.234655380249
 10, 73.210, 0.748, 74.372,1186.0148034095764
 11, 77.380, 0.707, 75.964,1305.1582608222961
 12, 76.540, 0.674, 77.075,1423.8536100387573
 13, 78.100, 0.639, 78.259,1542.1935276985168
 14, 78.850, 0.608, 79.451,1660.7401144504547
 15, 81.160, 0.585, 80.446,1779.7200734615326
 16, 80.910, 0.562, 81.056,1897.9877653121948
 17, 78.930, 0.542, 81.724,2016.8197989463806
 18, 80.220, 0.531, 82.065,2134.7209928035736
 19, 82.460, 0.511, 82.863,2253.1389334201813
 20, 84.110, 0.495, 83.276,2371.613229036331
 21, 84.520, 0.486, 83.659,2490.418873310089
 22, 85.230, 0.470, 84.194,2609.1928617954254
 23, 81.710, 0.468, 84.213,2727.640403032303
 24, 84.440, 0.454, 84.734,2846.5605070590973
 25, 82.510, 0.444, 85.131,2965.7435269355774
 26, 83.840, 0.434, 85.342,3084.4966728687286
 27, 85.610, 0.423, 85.757,3203.6898605823517
 28, 84.570, 0.419, 85.886,3322.5019052028656
 29, 86.530, 0.411, 86.227,3441.19727063179
 30, 89.330, 0.316, 89.251,3559.820727109909
 31, 89.200, 0.288, 90.172,3678.127304792404
 32, 89.470, 0.272, 90.913,3796.8664257526398
 33, 89.800, 0.267, 90.971,3915.446836233139
 34, 89.460, 0.263, 91.182,4034.2358729839325
 35, 89.360, 0.258, 91.397,4152.983979940414
 36, 89.700, 0.252, 91.571,4271.188915014267
 37, 90.070, 0.251, 91.565,4390.250480890274
 38, 90.090, 0.246, 91.725,4509.535503149033
 39, 90.180, 0.239, 91.895,4628.76332783699
 40, 89.790, 0.240, 91.895,4746.997114419937
 41, 89.620, 0.233, 92.014,4866.063376903534
 42, 89.780, 0.233, 92.155,4984.435910701752
 43, 89.500, 0.230, 92.222,5102.856116771698
 44, 89.930, 0.226, 92.381,5220.8527665138245
 45, 89.930, 0.224, 92.512,5338.616862535477
 46, 90.450, 0.221, 92.686,5456.124274253845
 47, 90.010, 0.218, 92.679,5574.573826551437
 48, 90.150, 0.215, 92.785,5692.275426626205
 49, 90.340, 0.215, 92.761,5809.791711807251
 50, 89.970, 0.210, 92.725,5927.657679080963
