epoch,accuracy,train_loss,train_acc,time
  1, 38.870, 1.837, 31.621,263.7016007900238
  2, 47.340, 1.504, 44.672,526.0033912658691
  3, 57.780, 1.288, 53.278,789.4937462806702
  4, 61.050, 1.116, 60.155,1052.541668176651
  5, 66.500, 1.002, 64.376,1316.5387434959412
  6, 67.960, 0.912, 67.961,1580.447543144226
  7, 72.350, 0.839, 70.980,1843.8003392219543
  8, 70.580, 0.768, 73.666,2149.3403975963593
  9, 70.520, 0.723, 75.113,2411.582721233368
 10, 77.810, 0.677, 77.108,2675.1268730163574
 11, 81.140, 0.641, 78.220,2937.4924850463867
 12, 78.770, 0.613, 79.223,3198.5002171993256
 13, 75.640, 0.582, 80.321,3462.075011253357
 14, 82.580, 0.561, 80.945,3724.8370127677917
 15, 82.280, 0.538, 81.827,3989.659427165985
 16, 81.630, 0.523, 82.414,4253.028954267502
 17, 81.930, 0.497, 83.385,4517.600784540176
 18, 84.290, 0.489, 83.605,4782.114773988724
 19, 81.680, 0.480, 83.770,5089.6160316467285
 20, 82.200, 0.459, 84.651,5353.592201709747
 21, 84.070, 0.451, 84.814,5616.46191239357
 22, 86.330, 0.437, 85.249,5878.4254286289215
 23, 85.600, 0.426, 85.806,6140.7648894786835
 24, 85.720, 0.424, 85.842,6402.459648132324
 25, 84.860, 0.413, 86.000,6667.1790318489075
 26, 84.910, 0.404, 86.491,6932.054161310196
 27, 83.650, 0.398, 86.755,7197.022284269333
 28, 84.970, 0.389, 86.960,7461.387499570847
 29, 86.150, 0.379, 87.284,7725.51739358902
 30, 89.580, 0.296, 90.105,8012.1426038742065
 31, 89.650, 0.263, 91.203,8295.06334900856
 32, 90.040, 0.254, 91.531,8557.57667016983
 33, 90.420, 0.243, 91.835,8819.54994225502
 34, 89.860, 0.240, 91.933,9081.082216739655
 35, 90.370, 0.239, 91.987,9343.381482124329
 36, 90.100, 0.233, 92.207,9605.840539693832
 37, 90.080, 0.227, 92.335,9869.60837841034
 38, 90.510, 0.224, 92.436,10132.322113990784
 39, 90.380, 0.223, 92.467,10394.431653738022
 40, 90.770, 0.220, 92.659,10656.211673498154
 41, 90.720, 0.215, 92.803,10920.212552785873
 42, 90.760, 0.210, 92.929,11227.965069770813
 43, 90.640, 0.212, 92.811,11489.864130020142
 44, 90.840, 0.207, 92.964,11751.570660114288
 45, 90.430, 0.204, 93.231,12013.599718809128
 46, 90.810, 0.198, 93.339,12275.775152683258
 47, 90.670, 0.201, 93.261,12538.88736319542
 48, 90.800, 0.199, 93.234,12802.106159687042
 49, 90.430, 0.194, 93.483,13066.92540884018
 50, 90.920, 0.195, 93.484,13330.56866979599
