epoch,accuracy,train_loss,train_acc,time
  1, 43.420, 1.773, 34.299,175.48138761520386
  2, 51.590, 1.392, 48.995,351.3947494029999
  3, 58.500, 1.168, 58.278,529.101728439331
  4, 66.320, 1.010, 64.409,734.6184446811676
  5, 71.150, 0.901, 68.458,952.716311454773
  6, 74.130, 0.814, 71.687,1131.202398777008
  7, 73.100, 0.736, 74.422,1310.6987731456757
  8, 77.110, 0.671, 77.008,1490.491620540619
  9, 79.290, 0.632, 78.323,1669.4434084892273
 10, 81.720, 0.601, 79.347,1847.2704293727875
 11, 80.730, 0.564, 80.909,2023.5358736515045
 12, 79.400, 0.546, 81.426,2199.885581970215
 13, 83.570, 0.518, 82.496,2376.470576763153
 14, 84.720, 0.501, 82.790,2552.9496641159058
 15, 82.450, 0.478, 83.747,2730.010541200638
 16, 84.080, 0.462, 84.232,2906.9362189769745
 17, 81.560, 0.452, 84.732,3084.8841183185577
 18, 84.780, 0.437, 85.272,3263.363822221756
 19, 84.770, 0.427, 85.466,3442.0614490509033
 20, 86.590, 0.410, 85.882,3620.181818008423
 21, 87.500, 0.409, 86.037,3797.4263145923615
 22, 85.820, 0.396, 86.633,3974.154314994812
 23, 83.690, 0.383, 87.072,4150.049847841263
 24, 87.220, 0.381, 87.163,4327.0637991428375
 25, 86.100, 0.372, 87.413,4501.9691598415375
 26, 85.430, 0.360, 87.868,4685.583096027374
 27, 86.730, 0.360, 87.830,4905.763226032257
 28, 87.330, 0.349, 88.139,5098.429760694504
 29, 88.130, 0.346, 88.221,5275.208683490753
 30, 90.470, 0.257, 91.364,5451.945513248444
 31, 90.620, 0.227, 92.429,5630.59415435791
 32, 90.810, 0.215, 92.823,5809.988522529602
 33, 90.770, 0.212, 92.866,5987.098735809326
 34, 91.140, 0.203, 93.208,6163.9672338962555
 35, 90.850, 0.193, 93.375,6341.235386610031
 36, 90.800, 0.191, 93.661,6519.182465791702
 37, 91.160, 0.193, 93.483,6693.910734653473
 38, 91.370, 0.190, 93.671,6869.837349176407
 39, 91.110, 0.185, 93.955,7046.241494178772
 40, 91.460, 0.181, 93.955,7224.425273656845
 41, 91.280, 0.181, 93.954,7401.524004459381
 42, 91.460, 0.175, 94.066,7578.566659450531
 43, 91.280, 0.174, 94.174,7753.6509845256805
 44, 91.380, 0.171, 94.264,7930.88761973381
 45, 91.310, 0.167, 94.442,8106.655445098877
 46, 91.460, 0.161, 94.486,8285.07162642479
 47, 91.500, 0.162, 94.508,8463.349009513855
 48, 91.280, 0.162, 94.503,8641.457830667496
 49, 91.290, 0.158, 94.708,8844.735374450684
 50, 91.530, 0.156, 94.742,9067.66501545906
