epoch,accuracy,train_loss,train_acc,time
  1, 13.810, 4.035, 7.841,102.937340259552
  2, 19.920, 3.510, 15.710,206.4228229522705
  3, 23.650, 3.220, 20.943,309.3871293067932
  4, 29.010, 2.968, 25.722,413.8090989589691
  5, 34.640, 2.731, 30.183,517.3457238674164
  6, 32.370, 2.531, 34.171,619.9236061573029
  7, 37.440, 2.359, 37.858,722.8032920360565
  8, 42.910, 2.237, 40.325,826.2716653347015
  9, 44.600, 2.118, 43.118,929.157835483551
 10, 41.850, 2.017, 45.557,1032.283682346344
 11, 45.110, 1.922, 47.452,1135.2723925113678
 12, 48.260, 1.859, 49.145,1238.9160096645355
 13, 49.440, 1.785, 50.480,1342.8965327739716
 14, 50.010, 1.730, 51.971,1445.8553025722504
 15, 53.270, 1.676, 53.482,1548.7388322353363
 16, 53.400, 1.616, 54.481,1651.615038394928
 17, 53.240, 1.576, 55.715,1754.347934961319
 18, 54.840, 1.534, 56.687,1857.5070796012878
 19, 55.850, 1.499, 57.592,1960.4407999515533
 20, 56.450, 1.458, 58.776,2064.277829885483
 21, 56.600, 1.431, 59.335,2167.230443716049
 22, 56.870, 1.404, 59.693,2270.1635506153107
 23, 55.720, 1.375, 60.737,2372.841568470001
 24, 55.290, 1.338, 61.666,2475.3941786289215
 25, 58.190, 1.315, 62.132,2578.707204580307
 26, 58.800, 1.297, 62.429,2683.0060777664185
 27, 58.830, 1.274, 63.057,2785.9209372997284
 28, 58.970, 1.246, 64.112,2888.9496581554413
 29, 60.450, 1.232, 64.077,2992.7089195251465
 30, 65.560, 0.962, 71.423,3095.6011233329773
 31, 65.920, 0.876, 73.800,3198.544123649597
 32, 66.380, 0.844, 74.596,3301.703953742981
 33, 66.850, 0.814, 75.387,3404.536640405655
 34, 66.880, 0.802, 75.724,3507.7865176200867
 35, 67.080, 0.777, 76.180,3611.9167125225067
 36, 66.610, 0.760, 77.022,3715.2219228744507
 37, 66.740, 0.748, 77.222,3818.424622774124
 38, 66.170, 0.736, 77.458,3921.940633058548
 39, 66.710, 0.725, 77.783,4024.8448815345764
 40, 66.750, 0.712, 78.098,4127.449427843094
 41, 66.690, 0.700, 78.314,4230.117499113083
 42, 66.810, 0.685, 78.793,4332.733859300613
 43, 67.010, 0.673, 79.189,4435.3462336063385
 44, 67.070, 0.671, 79.108,4538.5720109939575
 45, 66.820, 0.651, 79.671,4641.339480161667
 46, 67.180, 0.649, 79.763,4744.446042299271
 47, 66.650, 0.631, 80.339,4847.029231309891
 48, 66.860, 0.624, 80.577,4951.197815418243
 49, 67.030, 0.619, 80.778,5054.140694141388
 50, 66.710, 0.602, 81.239,5156.7577340602875
