epoch,accuracy,train_loss,train_acc,time
  1, 43.000, 1.756, 34.916,201.34343910217285
  2, 57.340, 1.339, 51.665,402.39844703674316
  3, 66.270, 1.082, 61.292,602.8122384548187
  4, 67.330, 0.931, 67.427,803.2854580879211
  5, 72.170, 0.818, 71.843,1004.1927654743195
  6, 71.260, 0.733, 74.770,1204.675745010376
  7, 73.280, 0.677, 76.792,1405.5284171104431
  8, 74.060, 0.631, 78.570,1605.296177148819
  9, 80.470, 0.590, 80.022,1804.7421107292175
 10, 82.650, 0.554, 81.034,2004.982286453247
 11, 82.160, 0.528, 81.986,2209.832510471344
 12, 83.400, 0.503, 83.091,2450.430573940277
 13, 82.760, 0.484, 83.687,2651.9260952472687
 14, 84.860, 0.465, 84.257,2854.0834279060364
 15, 84.280, 0.454, 84.776,3054.4299976825714
 16, 83.120, 0.431, 85.569,3255.9290449619293
 17, 85.490, 0.414, 86.008,3457.2131428718567
 18, 84.580, 0.409, 86.265,3658.608170032501
 19, 86.070, 0.394, 86.760,3859.8415207862854
 20, 84.810, 0.384, 87.041,4059.774671792984
 21, 85.840, 0.381, 87.172,4259.203204870224
 22, 86.730, 0.369, 87.615,4460.536085367203
 23, 85.680, 0.358, 88.060,4661.070412874222
 24, 86.500, 0.350, 88.279,4860.60847568512
 25, 87.230, 0.345, 88.448,5062.291555643082
 26, 86.860, 0.338, 88.652,5262.419775724411
 27, 87.930, 0.329, 88.890,5495.345255613327
 28, 87.400, 0.327, 89.130,5704.451510190964
 29, 87.890, 0.317, 89.365,5905.572138786316
 30, 90.500, 0.230, 92.315,6105.997357845306
 31, 90.940, 0.204, 93.222,6306.64456152916
 32, 91.010, 0.194, 93.592,6507.1062071323395
 33, 90.900, 0.186, 93.807,6707.921528100967
 34, 91.230, 0.185, 93.856,6908.161516666412
 35, 91.120, 0.177, 94.098,7109.380063056946
 36, 91.240, 0.176, 94.077,7309.883524656296
 37, 91.310, 0.170, 94.419,7510.040901422501
 38, 91.240, 0.168, 94.403,7710.103982925415
 39, 91.180, 0.158, 94.707,7911.359518766403
 40, 91.080, 0.160, 94.609,8110.880063295364
 41, 91.300, 0.155, 94.733,8311.655743837357
 42, 91.220, 0.157, 94.736,8520.98664522171
 43, 91.410, 0.152, 94.958,8759.581899642944
 44, 91.190, 0.150, 95.016,8961.26959848404
 45, 91.450, 0.147, 95.044,9163.386304616928
 46, 91.230, 0.142, 95.180,9364.33582854271
 47, 91.190, 0.146, 95.161,9566.402194976807
 48, 91.360, 0.140, 95.310,9767.995151996613
 49, 91.380, 0.140, 95.222,9969.771937608719
 50, 91.130, 0.135, 95.439,10171.573847055435
