epoch,accuracy,train_loss,train_acc,time
  1, 85.500, 0.602, 77.846,109.79990220069885
  2, 88.650, 0.343, 87.760,220.3074083328247
  3, 89.120, 0.291, 89.665,329.91245675086975
  4, 90.010, 0.260, 90.752,439.6300461292267
  5, 91.300, 0.243, 91.383,549.3989474773407
  6, 92.170, 0.223, 92.071,661.3456602096558
  7, 90.780, 0.217, 92.338,770.8776531219482
  8, 92.070, 0.206, 92.719,882.1195797920227
  9, 91.550, 0.193, 93.096,991.9229772090912
 10, 92.700, 0.189, 93.437,1101.7274012565613
 11, 92.240, 0.180, 93.684,1212.5662291049957
 12, 92.560, 0.175, 93.869,1321.8972237110138
 13, 92.530, 0.171, 93.991,1432.7991774082184
 14, 92.350, 0.166, 94.150,1543.95561337471
 15, 91.300, 0.161, 94.331,1653.338701725006
 16, 92.910, 0.158, 94.500,1764.0193314552307
 17, 92.630, 0.151, 94.635,1873.3973805904388
 18, 92.750, 0.149, 94.800,1984.9116432666779
 19, 92.940, 0.146, 94.886,2095.3788828849792
 20, 93.020, 0.142, 94.911,2207.1166801452637
 21, 92.440, 0.138, 95.188,2316.3462233543396
 22, 92.490, 0.138, 95.085,2426.6018471717834
 23, 92.800, 0.135, 95.233,2537.6416285037994
 24, 92.770, 0.132, 95.361,2647.6381261348724
 25, 92.580, 0.132, 95.306,2756.97554564476
 26, 92.510, 0.127, 95.559,2866.1105592250824
 27, 92.700, 0.124, 95.779,2977.2978975772858
 28, 92.730, 0.122, 95.812,3086.547922372818
 29, 92.750, 0.122, 95.784,3196.253190279007
 30, 93.770, 0.083, 97.278,3306.632614850998
 31, 93.870, 0.070, 97.668,3418.0829911231995
 32, 93.800, 0.062, 97.989,3527.535260438919
 33, 93.950, 0.058, 98.125,3637.3673429489136
 34, 94.020, 0.055, 98.190,3749.7905764579773
 35, 93.810, 0.052, 98.376,3860.303077697754
 36, 93.650, 0.049, 98.440,3970.037713766098
 37, 93.790, 0.049, 98.429,4079.6494874954224
 38, 93.860, 0.045, 98.513,4189.268418550491
 39, 93.900, 0.044, 98.592,4301.102776527405
 40, 93.660, 0.043, 98.666,4410.9014756679535
 41, 93.640, 0.042, 98.648,4520.347628355026
 42, 93.780, 0.040, 98.724,4629.848449230194
 43, 93.810, 0.038, 98.813,4739.283677101135
 44, 93.650, 0.038, 98.856,4849.168414115906
 45, 93.850, 0.037, 98.878,4958.956252336502
 46, 93.930, 0.035, 98.937,5068.191598415375
 47, 93.940, 0.034, 98.953,5178.033729791641
 48, 93.640, 0.033, 99.010,5289.869798898697
 49, 93.740, 0.034, 98.916,5400.5633289813995
 50, 93.860, 0.030, 99.099,5511.045224428177
