epoch,accuracy,train_loss,train_acc,time
  1,12.080,12.080,12.080,72.89313673973083
  2,18.760,18.760,18.760,146.93320107460022
  3,23.210,23.210,23.210,221.61184239387512
  4,27.750,27.750,27.750,296.0329532623291
  5,30.510,30.510,30.510,370.521253824234
  6,30.580,30.580,30.580,445.19207525253296
  7,37.650,37.650,37.650,519.4196705818176
  8,39.300,39.300,39.300,594.1901957988739
  9,42.380,42.380,42.380,668.8612177371979
 10,42.580,42.580,42.580,743.5190613269806
 11,44.630,44.630,44.630,818.2279365062714
 12,46.900,46.900,46.900,892.627427816391
 13,46.760,46.760,46.760,967.131979227066
 14,48.590,48.590,48.590,1041.7758271694183
 15,50.490,50.490,50.490,1116.8058547973633
 16,51.730,51.730,51.730,1191.4463019371033
 17,52.800,52.800,52.800,1266.5779626369476
 18,50.120,50.120,50.120,1341.1156923770905
 19,54.400,54.400,54.400,1415.9237587451935
 20,53.510,53.510,53.510,1490.0812847614288
 21,55.220,55.220,55.220,1564.7877035140991
 22,55.630,55.630,55.630,1639.7718403339386
 23,56.340,56.340,56.340,1714.3303499221802
 24,57.900,57.900,57.900,1789.096402645111
 25,56.870,56.870,56.870,1863.7291052341461
 26,55.650,55.650,55.650,1938.263751745224
 27,58.610,58.610,58.610,2012.924192905426
 28,55.410,55.410,55.410,2087.6517519950867
 29,58.440,58.440,58.440,2162.162431716919
 30,64.760,64.760,64.760,2237.33602142334
 31,65.430,65.430,65.430,2312.5542991161346
 32,65.500,65.500,65.500,2387.712042570114
 33,66.090,66.090,66.090,2462.1401329040527
 34,66.030,66.030,66.030,2536.666685819626
 35,66.240,66.240,66.240,2611.5021600723267
 36,66.580,66.580,66.580,2686.3322916030884
 37,67.050,67.050,67.050,2761.438174009323
 38,66.690,66.690,66.690,2836.20010304451
 39,66.550,66.550,66.550,2910.8121922016144
 40,66.430,66.430,66.430,2985.0990011692047
 41,66.600,66.600,66.600,3059.642179965973
 42,66.420,66.420,66.420,3134.3590338230133
 43,66.870,66.870,66.870,3209.067722082138
 44,66.380,66.380,66.380,3283.674498796463
 45,66.260,66.260,66.260,3357.986269712448
 46,67.150,67.150,67.150,3432.7519092559814
 47,66.800,66.800,66.800,3507.284960746765
 48,66.350,66.350,66.350,3581.580355167389
 49,66.330,66.330,66.330,3655.8724839687347
 50,66.950,66.950,66.950,3730.5820581912994
