epoch,accuracy,train_loss,train_acc,time
  1,2.660,2.660,2.660,72.05857300758362
  2,7.440,7.440,7.440,149.66439747810364
  3,11.050,11.050,11.050,227.44728231430054
  4,12.930,12.930,12.930,305.2411391735077
  5,18.740,18.740,18.740,382.9082992076874
  6,24.530,24.530,24.530,460.7108705043793
  7,24.520,24.520,24.520,538.3003158569336
  8,21.690,21.690,21.690,615.6719572544098
  9,26.920,26.920,26.920,693.2180824279785
 10,29.740,29.740,29.740,771.114550113678
 11,32.090,32.090,32.090,848.969966173172
 12,35.390,35.390,35.390,926.8624043464661
 13,39.370,39.370,39.370,1004.5533530712128
 14,36.880,36.880,36.880,1082.051879644394
 15,41.750,41.750,41.750,1159.7370088100433
 16,40.230,40.230,40.230,1237.1996388435364
 17,40.600,40.600,40.600,1314.3521456718445
 18,41.270,41.270,41.270,1391.5471875667572
 19,43.530,43.530,43.530,1469.3692209720612
 20,43.060,43.060,43.060,1546.866618156433
 21,46.070,46.070,46.070,1624.619312763214
 22,47.740,47.740,47.740,1702.215428352356
 23,49.780,49.780,49.780,1779.811143875122
 24,49.520,49.520,49.520,1857.4148950576782
 25,49.130,49.130,49.130,1934.8533844947815
 26,52.080,52.080,52.080,2012.3038630485535
 27,50.660,50.660,50.660,2089.818764925003
 28,51.570,51.570,51.570,2166.8399872779846
 29,53.890,53.890,53.890,2244.2459166049957
 30,57.190,57.190,57.190,2322.046639919281
 31,57.430,57.430,57.430,2399.80890583992
 32,56.970,56.970,56.970,2477.342371702194
 33,57.720,57.720,57.720,2555.031492948532
 34,57.270,57.270,57.270,2632.5470588207245
 35,57.360,57.360,57.360,2709.4388070106506
 36,57.880,57.880,57.880,2787.166131258011
 37,57.830,57.830,57.830,2864.666588783264
 38,58.190,58.190,58.190,2942.241673707962
 39,57.970,57.970,57.970,3019.471200466156
 40,58.180,58.180,58.180,3096.873975753784
 41,58.080,58.080,58.080,3174.116264820099
 42,58.530,58.530,58.530,3251.7873964309692
 43,58.540,58.540,58.540,3329.46240568161
 44,58.740,58.740,58.740,3407.398265838623
 45,58.380,58.380,58.380,3484.7200870513916
 46,58.400,58.400,58.400,3562.0050382614136
 47,58.130,58.130,58.130,3639.2955219745636
 48,58.830,58.830,58.830,3717.0298235416412
 49,58.770,58.770,58.770,3794.469912290573
 50,58.100,58.100,58.100,3871.5829503536224
