epoch,accuracy,train_loss,train_acc,time
  1, 12.800, 4.036, 7.786,73.74033117294312
  2, 17.490, 3.527, 15.424,147.96969985961914
  3, 24.610, 3.209, 21.190,222.39768815040588
  4, 28.920, 2.921, 26.333,296.9518852233887
  5, 27.440, 2.683, 31.232,371.08750653266907
  6, 35.780, 2.487, 35.040,445.3055009841919
  7, 38.040, 2.336, 38.008,519.5750317573547
  8, 42.610, 2.200, 41.008,594.1321074962616
  9, 42.850, 2.097, 43.219,668.4278984069824
 10, 49.000, 1.998, 45.702,742.6653804779053
 11, 50.010, 1.923, 47.194,817.0056030750275
 12, 50.520, 1.846, 49.102,891.2879154682159
 13, 53.130, 1.793, 50.363,965.7083957195282
 14, 50.130, 1.733, 51.689,1040.1477863788605
 15, 51.620, 1.676, 53.020,1114.2723183631897
 16, 54.050, 1.640, 54.079,1188.6676852703094
 17, 53.900, 1.594, 55.099,1262.7347474098206
 18, 54.210, 1.550, 56.052,1337.069794178009
 19, 55.860, 1.514, 57.349,1411.3453805446625
 20, 57.010, 1.483, 57.863,1485.846565246582
 21, 57.070, 1.448, 58.762,1560.325862646103
 22, 56.960, 1.416, 59.386,1634.5428488254547
 23, 56.880, 1.389, 60.575,1709.1038072109222
 24, 58.470, 1.363, 60.685,1784.0556530952454
 25, 56.540, 1.328, 61.894,1858.4150013923645
 26, 57.380, 1.311, 62.349,1932.6800873279572
 27, 57.780, 1.284, 62.996,2006.7668042182922
 28, 58.070, 1.260, 63.458,2080.917797803879
 29, 59.740, 1.240, 64.056,2155.573321580887
 30, 65.400, 0.977, 71.087,2230.0911107063293
 31, 66.260, 0.895, 73.218,2304.0547511577606
 32, 66.280, 0.860, 74.034,2378.852423429489
 33, 66.410, 0.834, 74.877,2453.1530663967133
 34, 66.410, 0.811, 75.483,2527.3758931159973
 35, 66.580, 0.798, 75.782,2601.9787850379944
 36, 66.690, 0.782, 76.272,2676.2931168079376
 37, 66.690, 0.758, 76.809,2750.3505148887634
 38, 66.110, 0.745, 77.247,2824.839131593704
 39, 66.170, 0.728, 77.726,2898.792248725891
 40, 66.550, 0.724, 77.504,2973.197036266327
 41, 66.830, 0.714, 77.865,3047.922055244446
 42, 66.750, 0.691, 78.661,3122.138335943222
 43, 66.500, 0.679, 79.075,3196.576994419098
 44, 67.040, 0.670, 79.031,3271.3853974342346
 45, 66.900, 0.664, 79.206,3345.8144702911377
 46, 66.460, 0.660, 79.392,3419.8115618228912
 47, 66.660, 0.645, 79.812,3493.981068134308
 48, 66.700, 0.635, 80.075,3568.322561264038
 49, 66.650, 0.622, 80.443,3642.8248546123505
 50, 66.630, 0.615, 80.744,3717.0445461273193
