epoch,accuracy,train_loss,train_acc,time
  1, 13.530, 4.025, 7.802,84.17919754981995
  2, 17.810, 3.510, 15.743,168.7677297592163
  3, 22.740, 3.216, 20.871,253.24521374702454
  4, 26.990, 2.979, 25.427,337.73507142066956
  5, 31.990, 2.755, 29.650,422.19905853271484
  6, 36.150, 2.535, 34.001,506.9900004863739
  7, 37.140, 2.386, 36.952,591.6763849258423
  8, 41.630, 2.247, 40.058,676.1341066360474
  9, 44.300, 2.139, 42.638,760.8261761665344
 10, 44.740, 2.040, 44.702,845.4541771411896
 11, 47.060, 1.954, 46.634,930.0871348381042
 12, 49.870, 1.882, 48.288,1014.6458790302277
 13, 49.180, 1.806, 49.948,1098.956647157669
 14, 51.210, 1.749, 51.487,1183.5762922763824
 15, 51.120, 1.695, 52.823,1267.7946274280548
 16, 54.710, 1.642, 54.312,1352.5288515090942
 17, 51.180, 1.599, 54.899,1436.881259918213
 18, 53.080, 1.557, 56.099,1521.1151843070984
 19, 56.210, 1.528, 56.854,1605.675500869751
 20, 55.440, 1.488, 58.089,1690.002164363861
 21, 56.090, 1.448, 58.800,1774.4263722896576
 22, 57.310, 1.424, 59.294,1858.9735460281372
 23, 58.280, 1.392, 60.267,1943.652297258377
 24, 59.410, 1.354, 60.980,2028.406445980072
 25, 58.660, 1.334, 61.789,2112.733975172043
 26, 59.200, 1.298, 62.651,2197.2504801750183
 27, 59.870, 1.287, 62.972,2281.886181116104
 28, 57.350, 1.261, 63.431,2366.286915540695
 29, 58.430, 1.239, 63.918,2450.6644864082336
 30, 66.050, 0.979, 70.969,2535.2918784618378
 31, 66.730, 0.888, 73.304,2619.826612472534
 32, 66.490, 0.855, 74.240,2704.192167520523
 33, 66.940, 0.825, 75.197,2788.820410966873
 34, 66.560, 0.809, 75.634,2873.0666842460632
 35, 66.610, 0.788, 75.996,2957.5793721675873
 36, 67.200, 0.773, 76.556,3042.2477338314056
 37, 67.080, 0.756, 76.893,3126.7521471977234
 38, 67.330, 0.748, 77.031,3211.332672357559
 39, 67.720, 0.729, 77.673,3295.9591476917267
 40, 67.720, 0.716, 78.123,3380.472654104233
 41, 67.890, 0.710, 78.259,3465.082300186157
 42, 67.030, 0.694, 78.361,3549.29186296463
 43, 67.380, 0.679, 78.893,3633.6296622753143
 44, 67.400, 0.674, 79.014,3718.0147609710693
 45, 67.640, 0.662, 79.341,3802.3329932689667
 46, 67.460, 0.649, 79.842,3886.7711169719696
 47, 67.450, 0.645, 79.862,3971.117390871048
 48, 67.800, 0.634, 79.982,4055.5119535923004
 49, 67.530, 0.624, 80.448,4139.906613588333
 50, 67.520, 0.604, 81.242,4224.279248714447
