epoch,accuracy,train_loss,train_acc,time
  1, 12.640, 4.025, 8.090,74.51027011871338
  2, 19.570, 3.521, 15.558,149.45726251602173
  3, 23.920, 3.228, 20.789,224.0169801712036
  4, 28.350, 2.994, 25.170,299.006395816803
  5, 31.110, 2.754, 29.960,373.4910445213318
  6, 33.940, 2.552, 33.698,447.9733176231384
  7, 37.700, 2.398, 36.819,522.4363408088684
  8, 41.260, 2.259, 39.900,597.0331845283508
  9, 45.340, 2.145, 42.562,671.4999251365662
 10, 46.360, 2.046, 44.522,746.2570967674255
 11, 48.780, 1.964, 46.466,820.9054682254791
 12, 49.090, 1.883, 48.328,895.4772090911865
 13, 48.950, 1.815, 49.790,969.8665342330933
 14, 52.510, 1.758, 50.905,1044.2831366062164
 15, 52.140, 1.703, 52.671,1118.7528414726257
 16, 51.830, 1.652, 53.815,1193.2644848823547
 17, 53.290, 1.612, 54.661,1267.8184878826141
 18, 52.670, 1.571, 55.679,1341.9475955963135
 19, 55.610, 1.530, 56.984,1416.4218130111694
 20, 56.510, 1.494, 57.466,1490.9285187721252
 21, 56.630, 1.463, 58.360,1565.1922872066498
 22, 58.910, 1.429, 59.298,1639.59699010849
 23, 54.120, 1.404, 60.160,1713.8325989246368
 24, 56.620, 1.374, 60.506,1787.8748669624329
 25, 57.300, 1.348, 61.353,1862.3944308757782
 26, 59.800, 1.323, 61.919,1936.8410835266113
 27, 58.260, 1.294, 62.484,2011.2359948158264
 28, 58.560, 1.279, 63.105,2085.574718475342
 29, 60.050, 1.258, 63.754,2160.030224084854
 30, 65.740, 0.996, 70.630,2234.7634177207947
 31, 66.350, 0.908, 72.983,2308.8082773685455
 32, 66.360, 0.876, 73.591,2383.365421772003
 33, 66.400, 0.856, 74.375,2457.8709592819214
 34, 66.540, 0.825, 75.215,2532.4930894374847
 35, 66.920, 0.813, 75.524,2607.0525193214417
 36, 66.670, 0.795, 75.939,2681.152062892914
 37, 66.580, 0.782, 76.244,2755.343658685684
 38, 67.330, 0.767, 76.722,2829.9289009571075
 39, 66.830, 0.759, 76.991,2904.2018868923187
 40, 66.570, 0.742, 77.444,2978.000286102295
 41, 67.030, 0.729, 77.668,3052.2178480625153
 42, 67.050, 0.716, 77.835,3126.659555912018
 43, 66.790, 0.708, 78.172,3201.0362207889557
 44, 66.940, 0.696, 78.382,3275.7068223953247
 45, 66.710, 0.697, 78.249,3349.7701454162598
 46, 66.970, 0.678, 78.941,3424.017838001251
 47, 66.910, 0.666, 79.170,3498.5238325595856
 48, 66.770, 0.658, 79.599,3572.716015815735
 49, 67.470, 0.649, 79.802,3647.161851644516
 50, 67.220, 0.636, 80.026,3721.5822672843933
