epoch,accuracy,train_loss,train_acc,time
  1, 12.320, 4.031, 7.562,74.06489586830139
  2, 18.210, 3.535, 15.393,148.22189354896545
  3, 23.530, 3.248, 20.168,222.53883004188538
  4, 28.430, 3.011, 24.645,297.1545672416687
  5, 32.740, 2.759, 29.232,372.15636444091797
  6, 35.240, 2.548, 33.805,447.1059992313385
  7, 37.530, 2.387, 37.076,522.0805244445801
  8, 40.610, 2.261, 39.580,596.8416647911072
  9, 43.230, 2.154, 42.099,671.8055837154388
 10, 45.990, 2.056, 44.301,746.7346453666687
 11, 47.810, 1.978, 46.248,821.8329212665558
 12, 48.000, 1.895, 48.068,896.477968454361
 13, 50.420, 1.832, 49.394,971.595662355423
 14, 48.960, 1.771, 50.827,1045.9713938236237
 15, 53.340, 1.715, 52.105,1121.1308097839355
 16, 53.410, 1.660, 53.512,1195.8711223602295
 17, 53.420, 1.618, 54.671,1270.7608869075775
 18, 56.050, 1.581, 55.430,1345.2871878147125
 19, 54.350, 1.536, 56.575,1419.8288190364838
 20, 55.900, 1.508, 57.306,1494.2610404491425
 21, 57.120, 1.474, 58.089,1569.1826269626617
 22, 58.280, 1.440, 59.102,1643.9887895584106
 23, 58.300, 1.411, 59.944,1718.8130123615265
 24, 55.670, 1.389, 60.339,1793.6568050384521
 25, 57.950, 1.356, 61.150,1868.4238538742065
 26, 58.950, 1.330, 61.516,1943.3428642749786
 27, 60.330, 1.308, 62.401,2018.2400896549225
 28, 59.120, 1.277, 63.062,2092.836417198181
 29, 59.390, 1.261, 63.620,2167.109679222107
 30, 65.310, 1.004, 70.413,2242.1701934337616
 31, 66.260, 0.912, 72.889,2316.8842267990112
 32, 66.050, 0.879, 73.692,2391.477004289627
 33, 66.130, 0.854, 74.101,2466.037034511566
 34, 66.700, 0.840, 75.077,2541.037008047104
 35, 66.520, 0.813, 75.469,2615.351978778839
 36, 66.480, 0.808, 75.449,2689.9541635513306
 37, 66.730, 0.786, 76.123,2764.4593427181244
 38, 66.780, 0.767, 76.583,2839.2652456760406
 39, 66.870, 0.769, 76.483,2913.94140791893
 40, 66.420, 0.747, 77.056,2988.3183495998383
 41, 66.360, 0.734, 77.479,3062.6988410949707
 42, 66.820, 0.728, 77.509,3137.2279963493347
 43, 67.040, 0.709, 78.155,3212.1143522262573
 44, 67.410, 0.701, 78.211,3286.8786149024963
 45, 67.390, 0.688, 78.653,3361.62375998497
 46, 67.140, 0.672, 78.931,3436.2153103351593
 47, 66.610, 0.670, 79.038,3510.180599451065
 48, 66.770, 0.658, 79.550,3584.6973502635956
 49, 66.870, 0.653, 79.585,3659.1972188949585
 50, 66.950, 0.637, 80.062,3733.537857532501
