epoch,accuracy,train_loss,train_acc,time
  1, 12.040, 4.032, 7.907,74.0577540397644
  2, 18.670, 3.519, 15.470,148.89819741249084
  3, 24.080, 3.216, 20.880,223.32654309272766
  4, 27.930, 2.956, 25.678,297.80375623703003
  5, 33.430, 2.704, 30.310,372.3486535549164
  6, 32.890, 2.508, 34.583,446.5962562561035
  7, 39.310, 2.359, 37.548,521.5178508758545
  8, 41.290, 2.235, 40.125,596.2551810741425
  9, 42.470, 2.124, 42.562,670.7591803073883
 10, 45.430, 2.032, 45.020,745.3720445632935
 11, 45.350, 1.949, 46.729,819.865168094635
 12, 47.740, 1.875, 48.324,894.7168853282928
 13, 50.220, 1.814, 50.170,969.2505416870117
 14, 50.750, 1.759, 51.159,1043.8910915851593
 15, 49.180, 1.702, 52.712,1118.1393992900848
 16, 53.210, 1.653, 53.599,1192.8599381446838
 17, 53.720, 1.603, 54.832,1267.5082285404205
 18, 55.640, 1.574, 55.778,1342.067727804184
 19, 55.800, 1.528, 56.653,1416.9690511226654
 20, 56.860, 1.494, 57.556,1491.7604727745056
 21, 52.770, 1.463, 58.387,1565.8767182826996
 22, 56.520, 1.426, 59.384,1640.5255773067474
 23, 58.220, 1.397, 59.910,1715.3262684345245
 24, 57.970, 1.372, 60.503,1789.824390411377
 25, 57.940, 1.349, 61.145,1864.3021321296692
 26, 57.790, 1.326, 61.824,1938.4891471862793
 27, 59.230, 1.294, 62.644,2013.1954164505005
 28, 58.950, 1.277, 62.958,2087.402019262314
 29, 60.210, 1.255, 63.799,2161.8081226348877
 30, 65.180, 0.989, 70.778,2236.534237384796
 31, 65.640, 0.902, 73.108,2311.0366213321686
 32, 65.900, 0.867, 73.901,2386.042350769043
 33, 66.210, 0.839, 74.766,2460.628986120224
 34, 66.470, 0.820, 75.118,2535.245732307434
 35, 66.780, 0.804, 75.500,2609.7348787784576
 36, 66.380, 0.785, 76.081,2684.056356191635
 37, 66.900, 0.768, 76.385,2758.628223657608
 38, 67.070, 0.761, 76.682,2833.3326287269592
 39, 66.540, 0.741, 77.309,2907.540100336075
 40, 66.970, 0.735, 77.455,2981.893632173538
 41, 66.390, 0.718, 78.007,3056.5517840385437
 42, 66.920, 0.704, 78.376,3130.7920427322388
 43, 67.060, 0.690, 78.570,3205.3501558303833
 44, 66.720, 0.682, 78.614,3279.6705889701843
 45, 67.120, 0.674, 79.096,3354.311756134033
 46, 67.220, 0.665, 79.251,3428.87366938591
 47, 66.800, 0.652, 79.609,3503.5813343524933
 48, 66.990, 0.640, 79.925,3577.993771791458
 49, 67.480, 0.636, 80.218,3652.731699705124
 50, 67.090, 0.623, 80.308,3726.94052028656
