epoch,accuracy,train_loss,train_acc,time
  1,26.430,26.430,26.430,154.05183863639832
  2,36.600,36.600,36.600,312.7758409976959
  3,38.500,38.500,38.500,471.41300344467163
  4,47.780,47.780,47.780,630.4406142234802
  5,46.580,46.580,46.580,788.8354947566986
  6,54.760,54.760,54.760,947.5588233470917
  7,57.810,57.810,57.810,1106.6126384735107
  8,64.790,64.790,64.790,1265.285177230835
  9,63.360,63.360,63.360,1424.0588977336884
 10,60.850,60.850,60.850,1582.4437046051025
 11,67.300,67.300,67.300,1741.3032891750336
 12,75.710,75.710,75.710,1899.9358592033386
 13,70.990,70.990,70.990,2058.3235099315643
 14,72.740,72.740,72.740,2217.0372955799103
 15,73.300,73.300,73.300,2375.393935441971
 16,76.690,76.690,76.690,2534.297849416733
 17,80.690,80.690,80.690,2692.96040225029
 18,81.100,81.100,81.100,2851.739776611328
 19,81.040,81.040,81.040,3010.201997280121
 20,81.090,81.090,81.090,3168.8724851608276
 21,81.270,81.270,81.270,3328.0188879966736
 22,81.290,81.290,81.290,3487.1097288131714
 23,81.540,81.540,81.540,3645.945616006851
 24,81.980,81.980,81.980,3804.634781360626
 25,81.950,81.950,81.950,3963.3311953544617
 26,81.800,81.800,81.800,4121.798145055771
 27,82.080,82.080,82.080,4280.9609887599945
 28,82.360,82.360,82.360,4439.633945465088
 29,82.730,82.730,82.730,4598.133578300476
 30,82.260,82.260,82.260,4756.8330018520355
 31,82.800,82.800,82.800,4915.892758846283
 32,82.130,82.130,82.130,5074.305017232895
 33,82.040,82.040,82.040,5233.044002056122
 34,82.400,82.400,82.400,5391.471161365509
 35,82.540,82.540,82.540,5549.857442855835
 36,82.430,82.430,82.430,5708.528008937836
 37,82.710,82.710,82.710,5867.257141828537
 38,82.860,82.860,82.860,6026.225517272949
 39,82.420,82.420,82.420,6184.949394702911
 40,82.610,82.610,82.610,6343.3714163303375
 41,82.590,82.590,82.590,6501.769449472427
 42,82.790,82.790,82.790,6661.224071502686
 43,82.630,82.630,82.630,6819.888623714447
 44,82.850,82.850,82.850,6978.6457278728485
 45,82.720,82.720,82.720,7137.348842859268
 46,82.970,82.970,82.970,7296.468064546585
 47,82.640,82.640,82.640,7455.224447488785
 48,82.610,82.610,82.610,7613.595096111298
 49,82.770,82.770,82.770,7772.420622825623
 50,82.790,82.790,82.790,7925.662199258804
