epoch,accuracy,train_loss,train_acc,time
  1,45.700,45.700,45.700,82.63777232170105
  2,52.840,52.840,52.840,167.26706433296204
  3,60.730,60.730,60.730,251.6620330810547
  4,69.350,69.350,69.350,336.2389714717865
  5,69.310,69.310,69.310,420.46455907821655
  6,74.300,74.300,74.300,504.8400409221649
  7,76.850,76.850,76.850,589.6228067874908
  8,79.350,79.350,79.350,674.2607178688049
  9,81.110,81.110,81.110,758.9789543151855
 10,80.960,80.960,80.960,843.2608253955841
 11,82.430,82.430,82.430,927.9461398124695
 12,81.650,81.650,81.650,1012.4408569335938
 13,81.390,81.390,81.390,1096.8554530143738
 14,81.400,81.400,81.400,1181.226061820984
 15,81.230,81.230,81.230,1265.5826060771942
 16,83.360,83.360,83.360,1350.4554059505463
 17,87.560,87.560,87.560,1435.3912072181702
 18,87.830,87.830,87.830,1520.1919660568237
 19,88.100,88.100,88.100,1604.8494849205017
 20,88.030,88.030,88.030,1689.2186455726624
 21,88.530,88.530,88.530,1774.0461294651031
 22,88.140,88.140,88.140,1858.3760991096497
 23,88.540,88.540,88.540,1942.9395649433136
 24,88.840,88.840,88.840,2027.4522504806519
 25,88.800,88.800,88.800,2111.6715931892395
 26,88.850,88.850,88.850,2196.1701555252075
 27,88.840,88.840,88.840,2280.4534895420074
 28,88.640,88.640,88.640,2364.802532196045
 29,88.740,88.740,88.740,2449.159167766571
 30,89.200,89.200,89.200,2533.852249622345
 31,88.490,88.490,88.490,2618.3076124191284
 32,89.210,89.210,89.210,2702.9732944965363
 33,89.290,89.290,89.290,2787.577174425125
 34,89.140,89.140,89.140,2872.108605146408
 35,89.210,89.210,89.210,2956.4694719314575
 36,89.160,89.160,89.160,3040.8482744693756
 37,89.170,89.170,89.170,3125.222850084305
 38,89.290,89.290,89.290,3209.4509868621826
 39,89.240,89.240,89.240,3293.6480989456177
 40,89.120,89.120,89.120,3377.8917541503906
 41,89.190,89.190,89.190,3462.2249948978424
 42,89.130,89.130,89.130,3546.5847220420837
 43,89.260,89.260,89.260,3630.9233949184418
 44,89.270,89.270,89.270,3715.182960510254
 45,89.170,89.170,89.170,3799.6424329280853
 46,89.360,89.360,89.360,3884.214864730835
 47,89.260,89.260,89.260,3968.5609335899353
 48,89.230,89.230,89.230,4052.8564224243164
 49,89.180,89.180,89.180,4137.064498186111
 50,89.280,89.280,89.280,4221.446039199829
