epoch,accuracy,train_loss,train_acc,time
  1, 13.020, 4.043, 7.709,83.86020612716675
  2, 19.210, 3.547, 15.036,167.62827038764954
  3, 24.690, 3.256, 20.117,251.99774599075317
  4, 28.750, 2.996, 25.130,335.8422815799713
  5, 28.910, 2.772, 29.329,419.67251324653625
  6, 34.000, 2.559, 33.433,503.41978788375854
  7, 41.460, 2.390, 37.220,587.9532721042633
  8, 43.190, 2.261, 39.778,672.2817270755768
  9, 42.760, 2.154, 42.194,755.7572915554047
 10, 45.300, 2.049, 44.517,839.737401008606
 11, 47.020, 1.957, 46.403,924.1016125679016
 12, 47.310, 1.881, 48.264,1008.6090245246887
 13, 47.880, 1.824, 49.680,1092.3820178508759
 14, 50.990, 1.768, 50.974,1177.3184432983398
 15, 50.450, 1.706, 52.624,1260.8102233409882
 16, 53.820, 1.662, 53.676,1345.5910007953644
 17, 51.800, 1.623, 54.616,1429.5074598789215
 18, 55.300, 1.578, 55.682,1513.992407798767
 19, 54.720, 1.544, 56.304,1597.716470003128
 20, 55.170, 1.506, 57.396,1682.767716884613
 21, 57.300, 1.472, 58.295,1766.5869212150574
 22, 55.310, 1.442, 58.968,1850.6464598178864
 23, 57.880, 1.414, 59.705,1934.6298289299011
 24, 56.380, 1.383, 60.290,2018.131673336029
 25, 56.730, 1.359, 61.211,2101.6574273109436
 26, 56.340, 1.327, 62.087,2185.203786611557
 27, 60.020, 1.316, 61.984,2269.964897632599
 28, 59.990, 1.291, 62.877,2354.276474237442
 29, 59.850, 1.270, 63.357,2437.978520154953
 30, 64.970, 1.014, 70.156,2522.770348072052
 31, 65.660, 0.930, 72.322,2606.571235895157
 32, 65.850, 0.896, 73.268,2690.3606448173523
 33, 65.830, 0.871, 73.789,2774.001603603363
 34, 66.560, 0.850, 74.339,2858.526869535446
 35, 66.470, 0.828, 75.231,2942.0740871429443
 36, 66.590, 0.812, 75.311,3026.37038230896
 37, 66.490, 0.800, 75.650,3110.328416109085
 38, 66.740, 0.788, 75.943,3194.4460504055023
 39, 66.560, 0.777, 76.355,3278.542308807373
 40, 66.680, 0.760, 76.782,3362.008382320404
 41, 66.630, 0.756, 76.929,3445.5427157878876
 42, 67.060, 0.735, 77.256,3529.340180873871
 43, 67.010, 0.734, 77.405,3612.8072657585144
 44, 66.970, 0.722, 77.863,3696.205176591873
 45, 66.290, 0.710, 78.055,3779.969748020172
 46, 67.450, 0.697, 78.530,3863.7387125492096
 47, 66.930, 0.689, 78.721,3947.7160255908966
 48, 66.990, 0.677, 78.798,4031.192628145218
 49, 66.880, 0.668, 79.141,4114.685337305069
 50, 66.160, 0.657, 79.530,4198.175618648529
