epoch,accuracy,time
1    ,43.820  ,183.13921427726746
2    ,56.030  ,445.02052545547485
3    ,60.700  ,708.152496099472
4    ,66.270  ,971.4372892379761
5    ,69.500  ,1234.5112566947937
6    ,76.240  ,1497.8547043800354
7    ,76.990  ,1760.8558661937714
8    ,76.770  ,2023.334749698639
9    ,79.020  ,2286.7823638916016
10   ,79.440  ,2549.354517698288
11   ,81.810  ,2812.188727378845
12   ,82.800  ,3074.6492812633514
13   ,83.890  ,3337.2374682426453
14   ,81.970  ,3600.485958337784
15   ,83.970  ,3862.9104273319244
16   ,83.930  ,4125.104770898819
17   ,84.390  ,4388.730251550674
18   ,81.810  ,4651.100117921829
19   ,86.570  ,4914.61269903183
20   ,85.420  ,5176.566470146179
21   ,87.360  ,5439.976870059967
22   ,84.030  ,5702.862825155258
23   ,85.580  ,5966.031699419022
24   ,85.090  ,6229.235157966614
25   ,85.840  ,6491.944529056549
26   ,87.430  ,6754.820192813873
27   ,85.820  ,7018.01837849617
28   ,86.770  ,7281.125825405121
29   ,87.800  ,7543.437962055206
30   ,90.470  ,7805.647633075714
31   ,90.960  ,8067.911909103394
32   ,90.670  ,8329.160180568695
33   ,90.890  ,8591.17794084549
34   ,91.230  ,8853.706664085388
35   ,91.210  ,9117.022295475006
36   ,91.360  ,9380.35630941391
37   ,91.140  ,9642.973612308502
38   ,91.170  ,9905.156382322311
39   ,90.900  ,10168.551036119461
40   ,91.420  ,10432.409797906876
41   ,91.380  ,10693.995079040527
42   ,91.380  ,10956.860844373703
43   ,91.480  ,11219.751832962036
44   ,90.960  ,11426.055221796036
45   ,91.230  ,11600.195530176163
46   ,91.020  ,11774.087669610977
47   ,91.460  ,11948.785195827484
48   ,91.580  ,12123.602544307709
49   ,91.200  ,12298.066552400589
50   ,91.220  ,12472.13290476799
