epoch,accuracy,time
1    ,29.300  ,257.5512490272522
2    ,42.890  ,516.8741970062256
3    ,44.240  ,776.427389383316
4    ,50.650  ,1035.2259788513184
5    ,62.400  ,1294.4207956790924
6    ,61.080  ,1553.5821332931519
7    ,60.380  ,1814.6450984477997
8    ,64.440  ,2074.426174402237
9    ,68.680  ,2334.4907047748566
10   ,70.340  ,2595.022796154022
11   ,73.100  ,2855.1754150390625
12   ,74.220  ,3115.414089679718
13   ,70.430  ,3375.303435564041
14   ,76.580  ,3635.809485912323
15   ,78.720  ,3895.996841907501
16   ,75.570  ,4155.878673553467
17   ,80.130  ,4415.538104534149
18   ,78.870  ,4674.357443332672
19   ,80.380  ,4934.636206626892
20   ,81.290  ,5195.101413011551
21   ,79.600  ,5453.678354501724
22   ,80.690  ,5713.585377931595
23   ,81.360  ,5972.346572160721
24   ,84.690  ,6231.813192129135
25   ,80.590  ,6491.790476322174
26   ,82.300  ,6751.431033372879
27   ,84.370  ,7010.713486671448
28   ,81.310  ,7270.996415376663
29   ,84.960  ,7531.069456100464
30   ,86.350  ,7791.998787641525
31   ,86.430  ,8053.495021104813
32   ,86.590  ,8314.240668535233
33   ,86.380  ,8574.532464504242
34   ,86.550  ,8834.89784359932
35   ,86.590  ,9094.258406877518
36   ,86.800  ,9354.598298311234
37   ,86.880  ,9614.812025785446
38   ,86.780  ,9875.032676935196
39   ,86.950  ,10134.325436115265
40   ,86.950  ,10394.115322828293
41   ,86.810  ,10654.645761966705
42   ,86.970  ,10913.612010717392
43   ,86.950  ,11169.658747196198
44   ,86.840  ,11343.8483979702
45   ,87.060  ,11517.819030761719
46   ,86.990  ,11691.83782362938
47   ,87.030  ,11866.191226959229
48   ,87.030  ,12040.073601722717
49   ,87.040  ,12214.007925271988
50   ,87.040  ,12355.568080425262
