epoch,accuracy,train_loss,train_acc,time
  1,42.820,42.820,42.820,155.73631238937378
  2,51.220,51.220,51.220,316.278954744339
  3,60.840,60.840,60.840,476.9884283542633
  4,62.970,62.970,62.970,637.2408792972565
  5,70.980,70.980,70.980,797.5980231761932
  6,75.220,75.220,75.220,957.7936704158783
  7,78.580,78.580,78.580,1118.3197841644287
  8,76.750,76.750,76.750,1278.5429382324219
  9,78.050,78.050,78.050,1439.184722661972
 10,81.580,81.580,81.580,1599.5754017829895
 11,81.830,81.830,81.830,1760.0282592773438
 12,81.490,81.490,81.490,1920.1931567192078
 13,83.550,83.550,83.550,2081.0494883060455
 14,83.990,83.990,83.990,2241.5124921798706
 15,83.540,83.540,83.540,2401.7570853233337
 16,83.600,83.600,83.600,2562.2084696292877
 17,87.860,87.860,87.860,2722.9515652656555
 18,87.770,87.770,87.770,2883.244047164917
 19,87.950,87.950,87.950,3043.7599623203278
 20,88.310,88.310,88.310,3204.3317546844482
 21,88.090,88.090,88.090,3364.550415992737
 22,88.310,88.310,88.310,3525.380431175232
 23,88.280,88.280,88.280,3685.8363404273987
 24,88.560,88.560,88.560,3846.5490305423737
 25,88.590,88.590,88.590,4007.358082294464
 26,89.020,89.020,89.020,4168.420996904373
 27,88.860,88.860,88.860,4328.8735609054565
 28,88.740,88.740,88.740,4489.123692750931
 29,88.850,88.850,88.850,4649.680801153183
 30,89.240,89.240,89.240,4810.469635009766
 31,89.240,89.240,89.240,4971.037004232407
 32,89.220,89.220,89.220,5131.6574449539185
 33,88.800,88.800,88.800,5292.448633670807
 34,89.060,89.060,89.060,5452.581271648407
 35,89.130,89.130,89.130,5612.695719242096
 36,89.330,89.330,89.330,5773.307030916214
 37,89.370,89.370,89.370,5934.107511997223
 38,89.370,89.370,89.370,6094.718072414398
 39,89.480,89.480,89.480,6255.286853790283
 40,89.330,89.330,89.330,6415.889276742935
 41,89.560,89.560,89.560,6576.745830535889
 42,89.700,89.700,89.700,6737.584404706955
 43,89.530,89.530,89.530,6897.814490556717
 44,89.550,89.550,89.550,7058.35376906395
 45,89.350,89.350,89.350,7218.948800325394
 46,89.670,89.670,89.670,7379.591259479523
 47,89.470,89.470,89.470,7540.227523326874
 48,89.580,89.580,89.580,7700.7764682769775
 49,89.540,89.540,89.540,7861.017107963562
 50,89.760,89.760,89.760,8016.106435060501
