epoch,accuracy,train_loss,train_acc,time
  1, 27.970, 1.946, 26.576,67.27780389785767
  2, 34.650, 1.710, 34.516,134.89054012298584
  3, 38.950, 1.624, 39.019,202.29739689826965
  4, 33.860, 1.547, 42.132,267.5005352497101
  5, 35.300, 1.481, 45.185,333.3779945373535
  6, 38.170, 1.426, 47.696,399.29439783096313
  7, 39.330, 1.374, 49.567,464.8078875541687
  8, 41.680, 1.344, 51.007,531.2251346111298
  9, 45.020, 1.319, 52.066,596.8587052822113
 10, 46.720, 1.293, 53.160,662.9312555789948
 11, 47.180, 1.261, 54.387,731.234611749649
 12, 52.390, 1.242, 55.191,800.300213098526
 13, 52.730, 1.220, 56.188,866.892021894455
 14, 56.870, 1.194, 57.241,933.1190474033356
 15, 54.520, 1.181, 57.586,999.185563325882
 16, 54.540, 1.160, 58.677,1065.326544046402
 17, 54.010, 1.148, 59.171,1131.1281051635742
 18, 56.710, 1.137, 59.521,1197.0442953109741
 19, 60.850, 1.120, 59.986,1263.6488513946533
 20, 55.710, 1.113, 60.403,1329.4971079826355
 21, 62.380, 1.105, 60.845,1395.7880909442902
 22, 61.800, 1.084, 61.489,1461.8828783035278
 23, 60.730, 1.081, 61.555,1528.0031535625458
 24, 56.550, 1.075, 61.853,1594.1660070419312
 25, 57.640, 1.067, 62.162,1660.2309246063232
 26, 62.020, 1.057, 62.601,1725.933313369751
 27, 58.670, 1.058, 62.593,1791.5211703777313
 28, 63.290, 1.045, 63.162,1857.981805562973
 29, 58.370, 1.043, 63.154,1923.9137361049652
 30, 64.080, 0.979, 65.506,1990.2957828044891
 31, 64.000, 0.962, 65.940,2055.92648768425
 32, 63.930, 0.957, 66.175,2121.9934883117676
 33, 64.100, 0.958, 66.206,2188.022148132324
 34, 64.060, 0.949, 66.386,2253.8302977085114
 35, 64.830, 0.949, 66.481,2320.2514300346375
 36, 64.120, 0.947, 66.711,2386.220799922943
 37, 64.370, 0.942, 67.003,2452.285385131836
 38, 64.510, 0.944, 66.581,2518.447346687317
 39, 65.600, 0.943, 66.667,2584.473018169403
 40, 65.370, 0.937, 66.878,2650.570860862732
 41, 65.290, 0.937, 67.010,2716.7253432273865
 42, 63.500, 0.935, 67.232,2782.596800804138
 43, 63.860, 0.935, 67.127,2848.2375481128693
 44, 65.470, 0.934, 67.005,2914.18692612648
 45, 65.410, 0.924, 67.372,2980.328773498535
 46, 64.490, 0.925, 67.260,3046.404819250107
 47, 64.180, 0.930, 67.293,3112.2943012714386
 48, 66.430, 0.926, 67.303,3178.5462443828583
 49, 65.280, 0.926, 67.476,3244.1236963272095
 50, 64.530, 0.925, 67.335,3310.0385344028473
