epoch,accuracy,train_loss,train_acc,time
  1, 31.880, 1.998, 24.123,119.30882263183594
  2, 45.740, 1.589, 39.676,237.69027185440063
  3, 57.230, 1.310, 52.090,356.01090717315674
  4, 62.800, 1.109, 60.418,474.8537199497223
  5, 67.120, 0.975, 65.653,593.2638845443726
  6, 68.010, 0.889, 68.983,711.6304104328156
  7, 67.430, 0.797, 72.495,829.8523788452148
  8, 76.320, 0.730, 74.942,947.7861473560333
  9, 75.990, 0.676, 76.973,1066.2167766094208
 10, 77.510, 0.641, 78.151,1185.1692838668823
 11, 79.960, 0.603, 79.522,1303.5204558372498
 12, 78.830, 0.573, 80.513,1421.7687933444977
 13, 80.290, 0.553, 81.339,1540.7208187580109
 14, 77.900, 0.535, 81.945,1662.2699854373932
 15, 83.060, 0.505, 83.085,1781.4039766788483
 16, 81.970, 0.496, 83.044,1899.4829638004303
 17, 82.880, 0.473, 84.149,2017.8781592845917
 18, 83.150, 0.464, 84.352,2137.2509231567383
 19, 82.510, 0.443, 85.074,2255.038584947586
 20, 85.160, 0.436, 85.405,2373.3725657463074
 21, 84.360, 0.427, 85.520,2491.349999666214
 22, 84.810, 0.413, 86.101,2609.6315462589264
 23, 86.140, 0.400, 86.432,2727.7791357040405
 24, 85.690, 0.392, 86.955,2845.4075870513916
 25, 86.350, 0.386, 87.009,2963.762641429901
 26, 86.560, 0.380, 87.109,3082.0320916175842
 27, 82.600, 0.368, 87.477,3199.318638086319
 28, 85.070, 0.362, 87.886,3320.7382464408875
 29, 87.670, 0.354, 88.068,3438.766093969345
 30, 89.250, 0.261, 91.212,3557.3895077705383
 31, 89.880, 0.233, 92.206,3675.800885915756
 32, 90.050, 0.222, 92.551,3794.5754194259644
 33, 90.230, 0.214, 92.821,3912.6584389209747
 34, 89.980, 0.207, 93.046,4031.371734380722
 35, 90.430, 0.203, 93.235,4149.687234401703
 36, 90.510, 0.199, 93.234,4268.843327999115
 37, 90.640, 0.195, 93.410,4387.1737813949585
 38, 90.340, 0.193, 93.473,4505.730106115341
 39, 90.410, 0.185, 93.763,4624.604774236679
 40, 90.740, 0.185, 93.836,4743.112421751022
 41, 90.090, 0.183, 93.802,4861.380296945572
 42, 90.620, 0.179, 93.978,4979.403250217438
 43, 90.590, 0.180, 94.003,5097.868984937668
 44, 90.710, 0.178, 94.004,5215.923671007156
 45, 90.670, 0.171, 94.300,5338.601833581924
 46, 90.570, 0.171, 94.153,5456.670607089996
 47, 91.100, 0.167, 94.345,5575.169144392014
 48, 90.470, 0.164, 94.446,5693.845166921616
 49, 90.690, 0.162, 94.506,5812.650804758072
 50, 90.580, 0.159, 94.568,5931.335063457489
