epoch,accuracy,train_loss,train_acc,time
  1,37.120,37.120,37.120,136.11034107208252
  2,39.580,39.580,39.580,273.11920499801636
  3,56.570,56.570,56.570,409.94655871391296
  4,58.160,58.160,58.160,547.0130236148834
  5,67.140,67.140,67.140,683.7143664360046
  6,69.550,69.550,69.550,820.2838478088379
  7,70.760,70.760,70.760,958.0910742282867
  8,76.880,76.880,76.880,1096.1232182979584
  9,75.590,75.590,75.590,1232.768391609192
 10,77.570,77.570,77.570,1369.500372171402
 11,81.620,81.620,81.620,1506.0480394363403
 12,79.600,79.600,79.600,1641.650460243225
 13,80.870,80.870,80.870,1777.1444735527039
 14,83.000,83.000,83.000,1915.4590680599213
 15,81.850,81.850,81.850,2051.1050469875336
 16,83.910,83.910,83.910,2187.0708978176117
 17,84.320,84.320,84.320,2323.6402740478516
 18,83.720,83.720,83.720,2459.027439594269
 19,84.430,84.430,84.430,2596.31240773201
 20,81.740,81.740,81.740,2731.735734939575
 21,85.130,85.130,85.130,2868.9654262065887
 22,84.730,84.730,84.730,3005.9986946582794
 23,85.280,85.280,85.280,3141.5287272930145
 24,86.400,86.400,86.400,3278.9054176807404
 25,86.360,86.360,86.360,3415.7501306533813
 26,86.630,86.630,86.630,3552.880031347275
 27,85.460,85.460,85.460,3692.9738478660583
 28,85.770,85.770,85.770,3828.8448057174683
 29,86.330,86.330,86.330,3965.5290534496307
 30,90.000,90.000,90.000,4100.688509225845
 31,90.090,90.090,90.090,4236.93994808197
 32,90.270,90.270,90.270,4374.568722963333
 33,90.230,90.230,90.230,4510.350228071213
 34,90.460,90.460,90.460,4648.681663036346
 35,90.450,90.450,90.450,4786.603067874908
 36,90.330,90.330,90.330,4923.338203668594
 37,90.390,90.390,90.390,5059.591205835342
 38,90.480,90.480,90.480,5194.1161732673645
 39,90.560,90.560,90.560,5333.182014942169
 40,90.550,90.550,90.550,5470.438915252686
 41,90.740,90.740,90.740,5607.853287220001
 42,90.840,90.840,90.840,5743.384282112122
 43,90.770,90.770,90.770,5879.517876148224
 44,90.260,90.260,90.260,6015.341545581818
 45,90.750,90.750,90.750,6151.245027065277
 46,90.920,90.920,90.920,6287.6309151649475
 47,90.950,90.950,90.950,6424.374766111374
 48,90.760,90.760,90.760,6559.3561816215515
 49,90.930,90.930,90.930,6695.222670555115
 50,91.010,91.010,91.010,6831.0545382499695
