epoch,accuracy,time
1    ,77.510  ,281.27514910697937
2    ,86.910  ,562.2726440429688
3    ,86.510  ,843.2409293651581
4    ,90.260  ,1124.5767333507538
5    ,90.630  ,1405.9971194267273
6    ,91.490  ,1688.2924432754517
7    ,90.940  ,1968.7024550437927
8    ,89.000  ,2249.8168625831604
9    ,91.000  ,2530.3181862831116
10   ,91.900  ,2811.7762784957886
11   ,91.480  ,3093.229741334915
12   ,91.380  ,3374.820565700531
13   ,90.920  ,3656.249925136566
14   ,91.840  ,3937.0812554359436
15   ,91.880  ,4218.125243425369
16   ,91.170  ,4499.998133659363
17   ,92.220  ,4781.888465881348
18   ,92.360  ,5063.492968797684
19   ,92.250  ,5344.680643081665
20   ,92.430  ,5626.365873575211
21   ,91.550  ,5907.59167766571
22   ,91.350  ,6188.947947263718
23   ,92.720  ,6471.359013795853
24   ,92.480  ,6752.789765119553
25   ,92.850  ,7034.730811357498
26   ,91.390  ,7315.97625207901
27   ,93.050  ,7597.036396026611
28   ,93.220  ,7878.546170711517
29   ,93.130  ,8156.0331082344055
30   ,94.150  ,8437.381846427917
31   ,94.190  ,8718.850126981735
32   ,94.180  ,8999.59885764122
33   ,94.220  ,9280.704006671906
34   ,94.220  ,9560.484628915787
35   ,94.160  ,9841.711328029633
36   ,94.390  ,10122.730027914047
37   ,94.290  ,10402.956213474274
38   ,94.140  ,10684.589458703995
39   ,94.390  ,10966.546054840088
40   ,94.310  ,11248.435008049011
41   ,94.280  ,11469.744016885757
42   ,94.320  ,11658.120345592499
43   ,94.350  ,11846.48723244667
44   ,94.270  ,12034.850611686707
45   ,94.400  ,12223.476365804672
46   ,94.210  ,12311.188021183014
47   ,94.310  ,12398.709794998169
48   ,94.180  ,12486.15091252327
49   ,94.250  ,12573.645848274231
50   ,94.200  ,12661.02418422699
