epoch,accuracy,time
1    ,65.170  ,179.57600164413452
2    ,82.070  ,362.9687247276306
3    ,87.080  ,550.085061788559
4    ,88.160  ,735.1752316951752
5    ,89.040  ,921.3560585975647
6    ,84.520  ,1203.2153804302216
7    ,90.310  ,1484.5311017036438
8    ,90.260  ,1765.2200717926025
9    ,91.050  ,2046.9041857719421
10   ,89.680  ,2327.7231709957123
11   ,91.450  ,2609.4999408721924
12   ,91.380  ,2889.796693086624
13   ,91.780  ,3171.525118112564
14   ,92.100  ,3452.991199493408
15   ,90.780  ,3734.4501366615295
16   ,91.840  ,4015.5312328338623
17   ,91.790  ,4296.864164113998
18   ,92.270  ,4578.743991851807
19   ,91.700  ,4860.320164203644
20   ,92.110  ,5142.918779850006
21   ,92.080  ,5424.81760430336
22   ,92.630  ,5706.726369142532
23   ,92.170  ,5988.134488105774
24   ,92.420  ,6269.679365634918
25   ,92.180  ,6551.012525320053
26   ,91.590  ,6831.460243940353
27   ,92.530  ,7113.012080669403
28   ,92.680  ,7395.542028665543
29   ,91.810  ,7676.660562515259
30   ,92.780  ,7958.944371461868
31   ,92.940  ,8240.455238103867
32   ,92.820  ,8521.52939915657
33   ,92.700  ,8802.270788669586
34   ,92.800  ,9079.762743711472
35   ,92.710  ,9361.220031023026
36   ,92.540  ,9642.743217945099
37   ,92.700  ,9923.842311143875
38   ,92.470  ,10205.392478704453
39   ,92.430  ,10485.227203845978
40   ,92.650  ,10766.780097961426
41   ,92.550  ,11048.393314123154
42   ,92.610  ,11329.022078990936
43   ,92.500  ,11611.183871984482
44   ,92.720  ,11893.115381479263
45   ,92.570  ,12174.932182788849
46   ,92.900  ,12396.584655284882
47   ,92.560  ,12584.939505815506
48   ,92.510  ,12773.340012073517
49   ,92.700  ,12961.6732275486
50   ,92.690  ,13150.034486532211
