epoch,accuracy,train_loss,train_acc,time
  1,82.420,82.420,82.420,88.63998603820801
  2,88.110,88.110,88.110,176.5120062828064
  3,89.270,89.270,89.270,264.26569724082947
  4,89.050,89.050,89.050,351.30530524253845
  5,90.700,90.700,90.700,438.773353099823
  6,90.860,90.860,90.860,526.2212119102478
  7,91.050,91.050,91.050,613.8351299762726
  8,91.860,91.860,91.860,701.3879873752594
  9,91.680,91.680,91.680,788.8146023750305
 10,91.830,91.830,91.830,876.3741221427917
 11,91.710,91.710,91.710,964.0059239864349
 12,92.140,92.140,92.140,1051.9296312332153
 13,92.110,92.110,92.110,1139.307900428772
 14,92.230,92.230,92.230,1227.0865199565887
 15,92.230,92.230,92.230,1314.448929309845
 16,92.630,92.630,92.630,1402.1222355365753
 17,92.970,92.970,92.970,1489.5123600959778
 18,92.970,92.970,92.970,1577.1972036361694
 19,92.970,92.970,92.970,1664.835655450821
 20,91.940,91.940,91.940,1752.5557804107666
 21,92.920,92.920,92.920,1840.1570239067078
 22,93.300,93.300,93.300,1928.0944895744324
 23,93.100,93.100,93.100,2015.3498649597168
 24,92.730,92.730,92.730,2102.908376932144
 25,92.200,92.200,92.200,2190.4035770893097
 26,93.510,93.510,93.510,2278.3240535259247
 27,93.160,93.160,93.160,2365.737767457962
 28,93.100,93.100,93.100,2453.1923496723175
 29,92.580,92.580,92.580,2540.7957067489624
 30,93.850,93.850,93.850,2628.74902844429
 31,93.830,93.830,93.830,2716.230005264282
 32,93.950,93.950,93.950,2804.038386106491
 33,94.040,94.040,94.040,2891.9436202049255
 34,94.140,94.140,94.140,2979.851572751999
 35,94.000,94.000,94.000,3067.5806913375854
 36,93.840,93.840,93.840,3155.1854038238525
 37,93.900,93.900,93.900,3242.9108097553253
 38,93.960,93.960,93.960,3330.5000569820404
 39,93.870,93.870,93.870,3418.068517446518
 40,93.900,93.900,93.900,3505.67134642601
 41,93.850,93.850,93.850,3592.9821107387543
 42,94.120,94.120,94.120,3680.5753746032715
 43,93.870,93.870,93.870,3767.8488504886627
 44,93.940,93.940,93.940,3855.1426186561584
 45,93.780,93.780,93.780,3942.623030900955
 46,93.930,93.930,93.930,4030.1205410957336
 47,93.750,93.750,93.750,4117.490391492844
 48,93.720,93.720,93.720,4205.089780330658
 49,93.890,93.890,93.890,4292.547503232956
 50,93.910,93.910,93.910,4379.890378713608
