epoch,accuracy,train_loss,train_acc,time
  1,69.330,69.330,69.330,75.7287073135376
  2,80.360,80.360,80.360,157.14381384849548
  3,85.600,85.600,85.600,239.45409536361694
  4,88.040,88.040,88.040,321.59486865997314
  5,88.000,88.000,88.000,403.43293476104736
  6,89.920,89.920,89.920,485.4581067562103
  7,89.450,89.450,89.450,567.3370468616486
  8,88.690,88.690,88.690,649.1914086341858
  9,90.690,90.690,90.690,731.4951844215393
 10,90.700,90.700,90.700,813.5728266239166
 11,91.030,91.030,91.030,895.6381690502167
 12,91.630,91.630,91.630,977.9999544620514
 13,91.870,91.870,91.870,1060.1404030323029
 14,91.890,91.890,91.890,1142.3908321857452
 15,92.700,92.700,92.700,1224.631668329239
 16,91.300,91.300,91.300,1306.467633008957
 17,90.390,90.390,90.390,1388.5836172103882
 18,92.260,92.260,92.260,1470.5016386508942
 19,91.010,91.010,91.010,1552.4471261501312
 20,92.210,92.210,92.210,1634.2568900585175
 21,92.500,92.500,92.500,1716.2487857341766
 22,92.860,92.860,92.860,1798.5498323440552
 23,92.630,92.630,92.630,1880.2463376522064
 24,91.420,91.420,91.420,1962.3987131118774
 25,89.780,89.780,89.780,2044.3956549167633
 26,92.520,92.520,92.520,2126.3190126419067
 27,91.250,91.250,91.250,2208.180525779724
 28,92.590,92.590,92.590,2290.084790945053
 29,92.220,92.220,92.220,2372.058640241623
 30,93.130,93.130,93.130,2454.5082426071167
 31,92.990,92.990,92.990,2536.4686403274536
 32,93.060,93.060,93.060,2618.600460767746
 33,92.280,92.280,92.280,2700.799345970154
 34,93.050,93.050,93.050,2782.8126044273376
 35,93.090,93.090,93.090,2865.0332310199738
 36,92.970,92.970,92.970,2947.0834217071533
 37,93.180,93.180,93.180,3029.0914108753204
 38,93.030,93.030,93.030,3111.05770111084
 39,93.130,93.130,93.130,3192.9032185077667
 40,93.170,93.170,93.170,3274.631801843643
 41,93.210,93.210,93.210,3357.0183391571045
 42,93.020,93.020,93.020,3438.6107864379883
 43,93.170,93.170,93.170,3520.42777466774
 44,93.150,93.150,93.150,3602.4897463321686
 45,92.980,92.980,92.980,3684.4217545986176
 46,93.360,93.360,93.360,3766.6245577335358
 47,93.020,93.020,93.020,3848.6609585285187
 48,93.060,93.060,93.060,3930.712317943573
 49,93.110,93.110,93.110,4012.076915740967
 50,93.030,93.030,93.030,4093.85472035408
