epoch,accuracy,train_loss,train_acc,time
  1, 85.990, 0.657, 75.416,101.40416526794434
  2, 89.500, 0.359, 87.041,203.09276819229126
  3, 90.050, 0.303, 89.258,305.0942964553833
  4, 90.650, 0.277, 90.239,406.2417778968811
  5, 91.700, 0.255, 90.934,508.07422947883606
  6, 91.640, 0.239, 91.465,608.6623759269714
  7, 91.360, 0.225, 91.909,709.3158140182495
  8, 92.390, 0.218, 92.314,810.5075476169586
  9, 92.430, 0.211, 92.485,911.9913136959076
 10, 92.370, 0.202, 92.856,1012.4436845779419
 11, 92.420, 0.192, 93.146,1112.6926670074463
 12, 92.390, 0.188, 93.373,1213.9462792873383
 13, 92.780, 0.183, 93.525,1320.6878345012665
 14, 92.760, 0.181, 93.626,1422.5593657493591
 15, 92.550, 0.178, 93.733,1523.3795366287231
 16, 92.840, 0.171, 93.920,1624.5469677448273
 17, 92.420, 0.166, 94.141,1725.4406991004944
 18, 92.550, 0.165, 94.110,1826.2887709140778
 19, 92.290, 0.161, 94.375,1926.747703075409
 20, 92.680, 0.159, 94.382,2027.3623559474945
 21, 92.730, 0.157, 94.430,2127.610787630081
 22, 92.820, 0.153, 94.747,2228.2809224128723
 23, 93.310, 0.151, 94.683,2329.159594774246
 24, 92.580, 0.148, 94.793,2429.871702671051
 25, 93.260, 0.145, 94.992,2530.82164645195
 26, 92.970, 0.142, 94.942,2632.579411506653
 27, 93.370, 0.142, 94.969,2738.2965757846832
 28, 92.870, 0.141, 94.973,2840.579691171646
 29, 93.220, 0.139, 95.079,2941.053911924362
 30, 93.730, 0.101, 96.494,3041.9701385498047
 31, 93.850, 0.090, 96.965,3143.5330817699432
 32, 93.870, 0.087, 97.069,3244.5825021266937
 33, 94.040, 0.080, 97.361,3346.2466208934784
 34, 93.970, 0.079, 97.382,3447.554222345352
 35, 94.130, 0.077, 97.415,3548.5249004364014
 36, 94.210, 0.073, 97.530,3650.157284975052
 37, 94.090, 0.073, 97.546,3751.207927465439
 38, 94.000, 0.069, 97.682,3852.7572882175446
 39, 94.060, 0.067, 97.712,3953.591776371002
 40, 93.880, 0.065, 97.847,4054.624682664871
 41, 94.110, 0.065, 97.836,4156.09455871582
 42, 93.990, 0.065, 97.833,4257.267684698105
 43, 94.090, 0.061, 97.922,4358.0222427845
 44, 93.980, 0.059, 98.047,4458.5619695186615
 45, 94.110, 0.059, 98.032,4559.443827867508
 46, 94.100, 0.056, 98.183,4659.802602291107
 47, 93.810, 0.055, 98.167,4760.870405197144
 48, 93.970, 0.053, 98.258,4862.116689443588
 49, 93.960, 0.055, 98.162,4963.520231962204
 50, 93.830, 0.054, 98.210,5064.342010974884
