epoch,accuracy,train_loss,train_acc,time
  1, 83.530, 0.638, 76.365,87.15654182434082
  2, 86.570, 0.379, 86.285,174.91966938972473
  3, 88.190, 0.321, 88.448,262.320880651474
  4, 90.500, 0.282, 89.819,349.8898983001709
  5, 90.350, 0.257, 90.800,437.26565527915955
  6, 91.040, 0.243, 91.281,525.1393225193024
  7, 91.380, 0.224, 91.974,612.7604484558105
  8, 91.080, 0.216, 92.314,700.2167928218842
  9, 91.990, 0.206, 92.644,787.9604847431183
 10, 91.700, 0.202, 92.730,875.3649213314056
 11, 91.950, 0.191, 93.163,962.6665444374084
 12, 92.330, 0.190, 93.270,1050.307562828064
 13, 89.560, 0.180, 93.580,1137.4639530181885
 14, 92.520, 0.179, 93.786,1225.0112416744232
 15, 92.650, 0.175, 93.830,1312.5973796844482
 16, 92.660, 0.172, 93.885,1400.3201563358307
 17, 92.750, 0.165, 94.121,1487.964629650116
 18, 92.650, 0.163, 94.217,1575.342057466507
 19, 92.830, 0.157, 94.424,1663.117571592331
 20, 92.840, 0.156, 94.416,1750.675526857376
 21, 92.780, 0.154, 94.405,1838.1228332519531
 22, 92.700, 0.152, 94.604,1925.5846123695374
 23, 92.720, 0.148, 94.753,2012.9742376804352
 24, 92.920, 0.149, 94.678,2100.4953281879425
 25, 92.770, 0.143, 94.997,2188.152173757553
 26, 92.980, 0.141, 94.979,2275.766742706299
 27, 93.100, 0.140, 95.142,2363.4576234817505
 28, 92.840, 0.137, 95.099,2450.878462076187
 29, 92.270, 0.135, 95.230,2538.3682494163513
 30, 94.070, 0.098, 96.549,2625.955395936966
 31, 93.960, 0.087, 97.109,2713.4645431041718
 32, 94.250, 0.083, 97.148,2801.1438360214233
 33, 94.380, 0.077, 97.366,2888.830377101898
 34, 94.050, 0.076, 97.391,2976.259971857071
 35, 94.130, 0.071, 97.517,3063.7106161117554
 36, 94.180, 0.070, 97.616,3151.0136551856995
 37, 94.340, 0.065, 97.760,3238.2851011753082
 38, 94.340, 0.065, 97.805,3325.6707832813263
 39, 94.330, 0.063, 97.843,3413.070554971695
 40, 94.110, 0.061, 97.940,3500.420173883438
 41, 94.370, 0.059, 98.005,3587.687614917755
 42, 94.360, 0.056, 98.135,3675.2145676612854
 43, 94.100, 0.055, 98.144,3762.8682141304016
 44, 94.270, 0.054, 98.221,3850.271247625351
 45, 94.240, 0.054, 98.208,3937.968958377838
 46, 94.150, 0.052, 98.243,4025.414087295532
 47, 94.270, 0.052, 98.225,4112.973317623138
 48, 94.160, 0.050, 98.282,4200.249997854233
 49, 94.140, 0.049, 98.343,4287.494941234589
 50, 94.130, 0.050, 98.331,4375.062839269638
