epoch,accuracy,train_loss,train_acc,time
  1, 86.390, 0.611, 77.194,78.76844763755798
  2, 89.090, 0.352, 87.331,157.71347379684448
  3, 89.560, 0.300, 89.266,236.56485056877136
  4, 90.500, 0.271, 90.437,315.8081274032593
  5, 91.490, 0.253, 90.958,394.6276545524597
  6, 91.050, 0.234, 91.628,473.2565562725067
  7, 91.480, 0.222, 92.088,551.807968378067
  8, 92.370, 0.214, 92.396,630.6096396446228
  9, 92.060, 0.206, 92.695,709.3568313121796
 10, 92.710, 0.197, 93.082,787.6810419559479
 11, 92.020, 0.191, 93.344,866.2504498958588
 12, 92.780, 0.184, 93.560,945.2129094600677
 13, 92.840, 0.180, 93.669,1024.0174622535706
 14, 92.330, 0.178, 93.639,1102.8764579296112
 15, 92.270, 0.170, 93.985,1181.3403685092926
 16, 92.720, 0.167, 94.106,1259.8350744247437
 17, 93.140, 0.165, 94.158,1338.754153251648
 18, 92.930, 0.160, 94.463,1417.6043610572815
 19, 92.830, 0.155, 94.546,1495.8868339061737
 20, 92.630, 0.152, 94.633,1574.4031822681427
 21, 92.880, 0.152, 94.678,1652.7610285282135
 22, 92.710, 0.147, 94.870,1731.3860392570496
 23, 93.400, 0.145, 94.922,1810.2316029071808
 24, 93.000, 0.144, 94.893,1888.7908835411072
 25, 93.230, 0.142, 95.050,1967.6762130260468
 26, 93.190, 0.140, 95.089,2046.1644794940948
 27, 92.820, 0.138, 95.111,2124.245619058609
 28, 93.400, 0.135, 95.344,2202.568749666214
 29, 92.790, 0.133, 95.343,2281.243365764618
 30, 93.800, 0.094, 96.769,2359.6263167858124
 31, 93.800, 0.082, 97.259,2438.154531478882
 32, 94.080, 0.076, 97.376,2517.018545627594
 33, 94.030, 0.074, 97.517,2596.0506064891815
 34, 93.940, 0.070, 97.600,2675.062170982361
 35, 94.090, 0.067, 97.703,2753.815507888794
 36, 94.180, 0.064, 97.847,2832.3737123012543
 37, 94.080, 0.064, 97.822,2910.6895759105682
 38, 94.070, 0.061, 97.956,2988.8944506645203
 39, 94.130, 0.059, 98.042,3067.704626083374
 40, 94.090, 0.056, 98.146,3146.548945903778
 41, 94.170, 0.056, 98.193,3225.239182949066
 42, 94.100, 0.054, 98.311,3304.0484478473663
 43, 94.060, 0.053, 98.296,3382.8738963603973
 44, 94.050, 0.050, 98.376,3461.308691740036
 45, 93.950, 0.050, 98.361,3539.839274406433
 46, 94.090, 0.049, 98.411,3618.5445539951324
 47, 93.950, 0.048, 98.445,3697.2799978256226
 48, 94.070, 0.047, 98.449,3776.5219843387604
 49, 94.060, 0.046, 98.481,3855.391898393631
 50, 94.060, 0.043, 98.626,3934.4577543735504
