epoch,accuracy,train_loss,train_acc,time
  1, 84.650, 0.640, 76.336,78.64926171302795
  2, 85.950, 0.378, 86.483,157.7875862121582
  3, 89.290, 0.322, 88.599,236.58150267601013
  4, 89.680, 0.283, 89.889,315.83378434181213
  5, 87.680, 0.262, 90.651,394.557080745697
  6, 90.600, 0.246, 91.294,473.6312551498413
  7, 90.000, 0.233, 91.629,552.3969812393188
  8, 91.780, 0.223, 92.016,631.8975267410278
  9, 92.230, 0.215, 92.344,711.3142337799072
 10, 91.710, 0.202, 92.925,790.3532660007477
 11, 92.420, 0.203, 92.842,870.1230993270874
 12, 92.350, 0.192, 93.195,948.9973449707031
 13, 91.860, 0.187, 93.480,1028.1504447460175
 14, 92.580, 0.183, 93.493,1107.3330459594727
 15, 92.870, 0.181, 93.652,1186.486923456192
 16, 92.390, 0.173, 93.888,1265.6567540168762
 17, 92.820, 0.171, 94.041,1344.1634533405304
 18, 92.080, 0.166, 94.143,1423.2002923488617
 19, 92.330, 0.164, 94.151,1502.310652256012
 20, 92.570, 0.158, 94.437,1581.3203086853027
 21, 92.510, 0.161, 94.368,1660.3812458515167
 22, 92.740, 0.154, 94.626,1739.4600489139557
 23, 92.210, 0.155, 94.529,1818.5367879867554
 24, 92.720, 0.151, 94.727,1897.741457939148
 25, 93.380, 0.147, 94.761,1976.5868124961853
 26, 92.390, 0.143, 94.892,2055.6769893169403
 27, 93.040, 0.143, 95.025,2134.9204630851746
 28, 93.260, 0.141, 95.038,2213.554665327072
 29, 92.950, 0.143, 94.931,2291.9936950206757
 30, 93.820, 0.103, 96.448,2370.8602979183197
 31, 94.060, 0.090, 96.903,2450.536720752716
 32, 94.050, 0.085, 97.135,2529.2357771396637
 33, 94.110, 0.082, 97.201,2608.0540409088135
 34, 94.100, 0.077, 97.344,2686.8856778144836
 35, 94.000, 0.075, 97.475,2766.086314678192
 36, 94.200, 0.072, 97.573,2844.917334794998
 37, 94.040, 0.071, 97.641,2923.982433795929
 38, 94.110, 0.069, 97.640,3002.6525197029114
 39, 93.960, 0.068, 97.691,3081.475785970688
 40, 94.060, 0.065, 97.835,3160.3623707294464
 41, 93.980, 0.063, 97.896,3239.1722016334534
 42, 93.920, 0.063, 97.874,3318.254369497299
 43, 94.040, 0.062, 97.909,3397.1371779441833
 44, 94.070, 0.060, 98.013,3476.577504634857
 45, 94.000, 0.058, 98.044,3555.5035529136658
 46, 94.130, 0.056, 98.132,3634.3454575538635
 47, 93.980, 0.055, 98.110,3712.6100034713745
 48, 94.040, 0.054, 98.166,3791.7645614147186
 49, 94.040, 0.054, 98.154,3870.6840646266937
 50, 93.720, 0.050, 98.406,3949.8739790916443
