epoch,accuracy,train_loss,train_acc,time
  1, 84.050, 0.645, 75.997,77.76144242286682
  2, 88.110, 0.365, 86.846,156.3671760559082
  3, 90.080, 0.305, 89.135,235.36416959762573
  4, 90.740, 0.274, 90.212,313.8426744937897
  5, 91.000, 0.252, 91.063,392.7966070175171
  6, 91.640, 0.236, 91.723,472.10743737220764
  7, 91.750, 0.224, 92.143,550.9834823608398
  8, 92.120, 0.215, 92.426,629.5468728542328
  9, 92.000, 0.208, 92.625,708.2766399383545
 10, 91.880, 0.200, 92.951,786.8926773071289
 11, 91.630, 0.193, 93.220,865.919872045517
 12, 92.040, 0.188, 93.382,945.0061273574829
 13, 92.440, 0.183, 93.521,1023.922101020813
 14, 91.830, 0.177, 93.700,1102.544929265976
 15, 92.480, 0.175, 93.867,1181.6710810661316
 16, 92.760, 0.170, 93.971,1260.6567375659943
 17, 92.740, 0.163, 94.386,1339.6014595031738
 18, 92.630, 0.164, 94.222,1418.3713312149048
 19, 92.020, 0.160, 94.355,1497.2309248447418
 20, 92.730, 0.156, 94.565,1576.196084022522
 21, 92.090, 0.156, 94.411,1654.4975156784058
 22, 92.650, 0.151, 94.724,1733.0904273986816
 23, 92.530, 0.151, 94.707,1811.4873695373535
 24, 92.690, 0.145, 94.887,1890.6123073101044
 25, 91.580, 0.147, 94.794,1969.4401829242706
 26, 92.670, 0.141, 95.143,2048.085983991623
 27, 92.420, 0.139, 95.004,2126.6477603912354
 28, 92.260, 0.141, 95.036,2205.3309881687164
 29, 92.550, 0.136, 95.178,2284.230019569397
 30, 93.890, 0.101, 96.543,2363.186845064163
 31, 93.820, 0.088, 97.012,2441.5465886592865
 32, 93.930, 0.082, 97.291,2520.242285966873
 33, 94.020, 0.078, 97.316,2599.2534279823303
 34, 94.080, 0.075, 97.434,2678.491504907608
 35, 94.030, 0.072, 97.614,2757.476165294647
 36, 94.060, 0.071, 97.620,2836.3150475025177
 37, 94.040, 0.067, 97.780,2915.0325660705566
 38, 94.090, 0.065, 97.825,2994.0667521953583
 39, 93.950, 0.065, 97.878,3072.7355098724365
 40, 93.980, 0.063, 97.909,3151.316652536392
 41, 94.120, 0.061, 97.961,3230.2823486328125
 42, 94.010, 0.059, 98.033,3308.845097541809
 43, 94.130, 0.058, 98.056,3387.988993883133
 44, 94.130, 0.056, 98.148,3466.8537933826447
 45, 93.970, 0.055, 98.193,3545.5964362621307
 46, 94.090, 0.053, 98.214,3624.4468014240265
 47, 94.190, 0.053, 98.296,3703.475379705429
 48, 94.010, 0.051, 98.309,3782.1177949905396
 49, 93.990, 0.049, 98.374,3860.4474000930786
 50, 94.200, 0.050, 98.365,3939.3286271095276
