epoch,accuracy,train_loss,train_acc,time
  1,39.220,39.220,39.220,153.2835397720337
  2,48.730,48.730,48.730,313.8268172740936
  3,50.290,50.290,50.290,474.4763026237488
  4,62.640,62.640,62.640,635.1062364578247
  5,67.420,67.420,67.420,795.5709474086761
  6,74.220,74.220,74.220,955.9071791172028
  7,75.080,75.080,75.080,1116.3610479831696
  8,76.560,76.560,76.560,1276.7663083076477
  9,70.780,70.780,70.780,1437.2113251686096
 10,78.100,78.100,78.100,1597.8857207298279
 11,80.990,80.990,80.990,1758.2862780094147
 12,81.290,81.290,81.290,1918.7036418914795
 13,79.870,79.870,79.870,2079.1705889701843
 14,81.580,81.580,81.580,2239.608246564865
 15,83.010,83.010,83.010,2400.2806141376495
 16,82.260,82.260,82.260,2560.776119709015
 17,86.920,86.920,86.920,2721.837522506714
 18,87.500,87.500,87.500,2882.157530784607
 19,87.600,87.600,87.600,3042.915990829468
 20,88.040,88.040,88.040,3203.4107809066772
 21,88.310,88.310,88.310,3363.9359018802643
 22,88.030,88.030,88.030,3524.7649006843567
 23,88.580,88.580,88.580,3685.788909435272
 24,88.500,88.500,88.500,3846.080832004547
 25,88.130,88.130,88.130,4006.2726168632507
 26,88.580,88.580,88.580,4166.775945901871
 27,88.420,88.420,88.420,4326.934680700302
 28,88.890,88.890,88.890,4487.724903345108
 29,88.690,88.690,88.690,4648.157379627228
 30,88.860,88.860,88.860,4808.58383846283
 31,88.870,88.870,88.870,4968.668272018433
 32,88.810,88.810,88.810,5129.117756128311
 33,88.430,88.430,88.430,5289.907726287842
 34,89.000,89.000,89.000,5450.710087299347
 35,89.110,89.110,89.110,5611.4748504161835
 36,89.360,89.360,89.360,5772.052871227264
 37,89.180,89.180,89.180,5932.195529937744
 38,89.290,89.290,89.290,6092.341010808945
 39,89.410,89.410,89.410,6253.144742965698
 40,89.360,89.360,89.360,6413.358569860458
 41,89.410,89.410,89.410,6573.760986089706
 42,89.410,89.410,89.410,6734.051097393036
 43,89.490,89.490,89.490,6894.471287250519
 44,89.300,89.300,89.300,7054.8939690589905
 45,89.420,89.420,89.420,7215.420811653137
 46,89.410,89.410,89.410,7375.916934251785
 47,89.270,89.270,89.270,7536.305708646774
 48,89.390,89.390,89.390,7696.70388841629
 49,89.600,89.600,89.600,7857.411131858826
 50,89.340,89.340,89.340,8017.862741470337
