epoch,accuracy,train_loss,train_acc,time
  1,20.630,20.630,20.630,132.35040163993835
  2,30.440,30.440,30.440,290.93193078041077
  3,42.320,42.320,42.320,449.4581718444824
  4,47.320,47.320,47.320,608.0418179035187
  5,52.890,52.890,52.890,766.579024553299
  6,60.320,60.320,60.320,925.4459521770477
  7,60.820,60.820,60.820,1084.0767500400543
  8,61.490,61.490,61.490,1243.1350252628326
  9,64.390,64.390,64.390,1401.6566517353058
 10,65.530,65.530,65.530,1560.2748353481293
 11,70.280,70.280,70.280,1719.1155319213867
 12,71.350,71.350,71.350,1877.635517835617
 13,69.700,69.700,69.700,2035.9493527412415
 14,74.880,74.880,74.880,2194.945679664612
 15,71.390,71.390,71.390,2353.472178697586
 16,75.950,75.950,75.950,2512.591189622879
 17,79.260,79.260,79.260,2671.0883362293243
 18,79.620,79.620,79.620,2829.685077190399
 19,79.610,79.610,79.610,2987.914645433426
 20,80.350,80.350,80.350,3146.4199392795563
 21,80.180,80.180,80.180,3304.9891214370728
 22,80.290,80.290,80.290,3463.5870373249054
 23,80.380,80.380,80.380,3622.1392843723297
 24,80.020,80.020,80.020,3780.378748655319
 25,80.410,80.410,80.410,3939.307423353195
 26,80.530,80.530,80.530,4098.425159692764
 27,80.880,80.880,80.880,4257.781315565109
 28,80.550,80.550,80.550,4416.547070264816
 29,81.440,81.440,81.440,4575.429686546326
 30,81.770,81.770,81.770,4734.569190740585
 31,81.100,81.100,81.100,4893.252769231796
 32,81.770,81.770,81.770,5051.494956493378
 33,82.130,82.130,82.130,5209.952087640762
 34,82.030,82.030,82.030,5368.762672662735
 35,82.040,82.040,82.040,5527.417102098465
 36,82.120,82.120,82.120,5686.029025793076
 37,82.130,82.130,82.130,5844.64582657814
 38,82.010,82.010,82.010,6002.916573047638
 39,82.080,82.080,82.080,6161.42959523201
 40,81.980,81.980,81.980,6320.024260044098
 41,82.000,82.000,82.000,6478.670198917389
 42,81.910,81.910,81.910,6637.284574508667
 43,82.390,82.390,82.390,6796.189708471298
 44,82.010,82.010,82.010,6955.31619310379
 45,82.280,82.280,82.280,7113.9000415802
 46,82.460,82.460,82.460,7272.69778585434
 47,81.930,81.930,81.930,7431.297404766083
 48,82.120,82.120,82.120,7589.894385576248
 49,82.120,82.120,82.120,7748.467344045639
 50,81.930,81.930,81.930,7907.047068119049
