epoch,accuracy,train_loss,train_acc,time
  1, 66.790, 1.083, 58.470,66.73221325874329
  2, 76.220, 0.737, 72.529,133.8861894607544
  3, 79.650, 0.649, 76.264,201.65466690063477
  4, 74.730, 0.592, 78.701,269.23259592056274
  5, 81.820, 0.550, 80.408,336.3887097835541
  6, 82.210, 0.512, 81.886,403.88011956214905
  7, 76.190, 0.495, 82.483,471.21206545829773
  8, 80.840, 0.477, 83.027,538.6458735466003
  9, 83.340, 0.456, 83.992,606.4240047931671
 10, 79.110, 0.447, 84.195,674.1244177818298
 11, 75.060, 0.435, 84.677,741.0783729553223
 12, 76.290, 0.429, 84.778,808.5425517559052
 13, 85.130, 0.417, 85.260,876.2606730461121
 14, 82.850, 0.411, 85.523,943.705938577652
 15, 86.800, 0.403, 85.804,1011.3816463947296
 16, 80.040, 0.398, 86.157,1078.8948464393616
 17, 83.740, 0.389, 86.337,1146.256945848465
 18, 83.860, 0.382, 86.553,1213.6181893348694
 19, 84.720, 0.380, 86.663,1281.0344297885895
 20, 82.950, 0.369, 86.998,1348.530577659607
 21, 80.640, 0.372, 87.038,1415.9589915275574
 22, 82.070, 0.364, 87.123,1483.491914987564
 23, 83.730, 0.361, 87.243,1550.6364636421204
 24, 85.900, 0.360, 87.379,1618.0090024471283
 25, 80.540, 0.358, 87.477,1685.5571529865265
 26, 84.220, 0.355, 87.536,1753.0689451694489
 27, 85.700, 0.350, 87.709,1820.0618345737457
 28, 82.200, 0.346, 87.900,1887.5389695167542
 29, 81.210, 0.346, 87.869,1954.9352977275848
 30, 87.070, 0.313, 89.107,2022.5475254058838
 31, 86.880, 0.304, 89.354,2089.5760004520416
 32, 84.980, 0.296, 89.654,2156.9170191287994
 33, 87.070, 0.294, 89.680,2224.4287037849426
 34, 85.940, 0.294, 89.700,2291.5706417560577
 35, 87.050, 0.293, 89.751,2358.936116218567
 36, 86.290, 0.292, 89.731,2426.3330738544464
 37, 87.210, 0.289, 89.993,2494.2376458644867
 38, 85.870, 0.292, 89.899,2561.665633201599
 39, 87.080, 0.288, 89.940,2629.021743297577
 40, 86.170, 0.287, 89.893,2696.2780673503876
 41, 86.030, 0.287, 89.998,2763.405430316925
 42, 86.060, 0.284, 90.137,2830.709944486618
 43, 86.790, 0.287, 89.922,2897.7947227954865
 44, 86.720, 0.284, 90.246,2965.00350189209
 45, 86.400, 0.284, 90.041,3032.5441217422485
 46, 86.570, 0.282, 90.154,3100.0984737873077
 47, 87.770, 0.282, 90.161,3167.716271877289
 48, 87.260, 0.282, 90.168,3235.090339422226
 49, 88.170, 0.282, 90.200,3302.828455924988
 50, 87.190, 0.281, 90.241,3370.319724559784
