epoch,accuracy,train_loss,train_acc,time
  1, 72.940, 1.090, 62.260,128.83843421936035
  2, 81.330, 0.598, 77.572,260.41002798080444
  3, 83.400, 0.486, 82.140,388.5712502002716
  4, 82.170, 0.413, 85.013,516.2406423091888
  5, 87.920, 0.371, 86.505,643.3961334228516
  6, 83.130, 0.332, 87.977,769.6202912330627
  7, 88.990, 0.310, 88.808,897.8601891994476
  8, 88.110, 0.291, 89.584,1024.6477353572845
  9, 88.950, 0.275, 90.159,1152.0679392814636
 10, 89.840, 0.262, 90.603,1278.7561287879944
 11, 89.980, 0.250, 91.146,1410.4689075946808
 12, 90.800, 0.240, 91.406,1537.8997902870178
 13, 90.710, 0.233, 91.748,1664.2260293960571
 14, 91.250, 0.228, 91.817,1791.656938791275
 15, 90.980, 0.219, 92.177,1918.3665816783905
 16, 90.270, 0.213, 92.402,2046.3310148715973
 17, 91.430, 0.209, 92.427,2172.6622402668
 18, 89.570, 0.205, 92.758,2300.0073730945587
 19, 92.510, 0.197, 92.909,2426.955842733383
 20, 92.560, 0.196, 92.924,2553.626296520233
 21, 91.980, 0.191, 93.255,2679.946834564209
 22, 90.800, 0.188, 93.328,2806.2056002616882
 23, 92.680, 0.181, 93.595,2933.2230179309845
 24, 91.860, 0.177, 93.779,3060.3159234523773
 25, 91.460, 0.176, 93.852,3186.8991618156433
 26, 92.290, 0.173, 93.824,3313.19850730896
 27, 92.420, 0.172, 94.007,3440.0743584632874
 28, 92.850, 0.172, 93.856,3566.5732185840607
 29, 91.970, 0.167, 94.055,3693.5852234363556
 30, 93.840, 0.127, 95.583,3819.7862927913666
 31, 93.850, 0.118, 95.903,3951.9412496089935
 32, 93.910, 0.114, 96.053,4078.5687034130096
 33, 93.810, 0.110, 96.118,4204.89580488205
 34, 94.010, 0.109, 96.255,4331.910253286362
 35, 94.110, 0.105, 96.352,4459.847072601318
 36, 93.860, 0.105, 96.380,4587.107997179031
 37, 93.990, 0.102, 96.405,4713.68891453743
 38, 94.010, 0.101, 96.441,4845.060758113861
 39, 93.890, 0.098, 96.635,4972.134026288986
 40, 94.100, 0.098, 96.566,5098.648319482803
 41, 94.090, 0.095, 96.719,5225.520706176758
 42, 94.080, 0.095, 96.649,5352.579457998276
 43, 94.100, 0.091, 96.851,5478.948805809021
 44, 93.870, 0.094, 96.760,5606.058554410934
 45, 94.040, 0.091, 96.896,5732.961194992065
 46, 93.990, 0.090, 97.010,5860.061705350876
 47, 94.020, 0.088, 96.847,5987.326618432999
 48, 94.020, 0.086, 97.049,6115.687101125717
 49, 93.830, 0.084, 97.131,6242.992794752121
 50, 93.920, 0.084, 97.108,6370.120767593384
