epoch,accuracy,train_loss,train_acc,time
  1,83.060,83.060,83.060,165.5028314590454
  2,88.870,88.870,88.870,331.7058365345001
  3,89.110,89.110,89.110,498.216082572937
  4,88.880,88.880,88.880,664.9176785945892
  5,91.320,91.320,91.320,832.279788017273
  6,91.620,91.620,91.620,997.5054969787598
  7,91.780,91.780,91.780,1163.6356089115143
  8,92.500,92.500,92.500,1328.1852011680603
  9,92.150,92.150,92.150,1493.8743216991425
 10,92.650,92.650,92.650,1657.4817011356354
 11,93.230,93.230,93.230,1825.33656167984
 12,93.210,93.210,93.210,1990.4995107650757
 13,92.760,92.760,92.760,2154.931056499481
 14,92.840,92.840,92.840,2323.5996158123016
 15,92.340,92.340,92.340,2489.478422164917
 16,92.730,92.730,92.730,2656.725605726242
 17,92.750,92.750,92.750,2823.569991350174
 18,92.790,92.790,92.790,2986.4643507003784
 19,93.180,93.180,93.180,3152.9887232780457
 20,93.120,93.120,93.120,3319.5731279850006
 21,93.370,93.370,93.370,3489.809156179428
 22,92.610,92.610,92.610,3653.508281469345
 23,92.730,92.730,92.730,3821.052639245987
 24,93.400,93.400,93.400,3987.0584626197815
 25,93.590,93.590,93.590,4150.8894855976105
 26,92.990,92.990,92.990,4315.12010550499
 27,93.380,93.380,93.380,4480.290048837662
 28,93.310,93.310,93.310,4645.725830078125
 29,92.640,92.640,92.640,4811.499729633331
 30,94.050,94.050,94.050,4977.4361271858215
 31,94.210,94.210,94.210,5142.851140737534
 32,94.200,94.200,94.200,5309.400588512421
 33,94.150,94.150,94.150,5473.347334384918
 34,94.310,94.310,94.310,5639.415901660919
 35,94.150,94.150,94.150,5804.453544139862
 36,94.180,94.180,94.180,5969.510323524475
 37,94.210,94.210,94.210,6136.899193048477
 38,94.130,94.130,94.130,6303.232870817184
 39,94.430,94.430,94.430,6468.483332395554
 40,94.090,94.090,94.090,6634.787666797638
 41,94.120,94.120,94.120,6801.033926963806
 42,94.180,94.180,94.180,6959.571127176285
 43,94.200,94.200,94.200,7113.423909664154
 44,94.120,94.120,94.120,7267.822490930557
 45,94.100,94.100,94.100,7422.806906223297
 46,94.260,94.260,94.260,7576.509413719177
 47,94.160,94.160,94.160,7729.36666893959
 48,94.330,94.330,94.330,7886.037734746933
 49,94.200,94.200,94.200,8039.458055973053
 50,94.370,94.370,94.370,8192.333012580872
