epoch,accuracy,train_loss,train_acc,time
  1, 83.210, 0.591, 77.987,90.61657619476318
  2, 88.140, 0.355, 87.146,181.69088745117188
  3, 89.660, 0.307, 89.010,272.9359288215637
  4, 89.320, 0.278, 90.046,362.76402378082275
  5, 91.270, 0.255, 90.937,754.207759141922
  6, 90.930, 0.236, 91.570,844.1291868686676
  7, 91.810, 0.225, 92.095,934.4313778877258
  8, 91.720, 0.214, 92.368,1024.4350264072418
  9, 91.570, 0.208, 92.638,1118.1240899562836
 10, 91.420, 0.200, 92.922,1208.9697496891022
 11, 92.040, 0.192, 93.151,1300.719804763794
 12, 92.570, 0.184, 93.516,1391.0420479774475
 13, 92.650, 0.181, 93.576,1482.3173863887787
 14, 92.490, 0.176, 93.764,1574.5446679592133
 15, 92.370, 0.174, 93.919,1666.0584242343903
 16, 92.410, 0.165, 94.166,1755.9339118003845
 17, 92.450, 0.166, 94.215,1847.1756827831268
 18, 93.090, 0.160, 94.357,1939.2791101932526
 19, 92.400, 0.159, 94.373,2030.3198373317719
 20, 92.790, 0.155, 94.517,2120.278978586197
 21, 92.690, 0.150, 94.779,2211.727955341339
 22, 92.510, 0.149, 94.724,2301.897176027298
 23, 92.780, 0.147, 94.841,2391.595376253128
 24, 92.750, 0.141, 94.995,2481.416284561157
 25, 92.470, 0.139, 95.058,2571.067585706711
 26, 92.970, 0.140, 95.060,2662.7842309474945
 27, 93.080, 0.136, 95.248,2752.6321420669556
 28, 92.380, 0.134, 95.345,2842.238067150116
 29, 92.820, 0.136, 95.126,2932.5400495529175
 30, 93.740, 0.096, 96.746,3023.7082707881927
 31, 93.910, 0.083, 97.201,3113.987443447113
 32, 93.690, 0.075, 97.544,3204.5310158729553
 33, 93.780, 0.072, 97.556,3294.3183903694153
 34, 93.630, 0.067, 97.789,3386.4121429920197
 35, 93.750, 0.065, 97.858,3476.5760459899902
 36, 93.760, 0.062, 97.962,3566.3603644371033
 37, 93.880, 0.061, 97.932,3656.0327672958374
 38, 93.940, 0.058, 98.031,3746.171425819397
 39, 93.740, 0.058, 98.095,3835.987069129944
 40, 93.640, 0.056, 98.228,3925.678463935852
 41, 93.720, 0.054, 98.219,4015.3616359233856
 42, 93.740, 0.052, 98.317,4105.156386852264
 43, 93.810, 0.049, 98.449,4195.463133573532
 44, 93.770, 0.049, 98.422,4285.174667596817
 45, 93.630, 0.047, 98.423,4374.996423006058
 46, 93.920, 0.047, 98.509,4465.541949510574
 47, 93.660, 0.044, 98.599,4556.63751077652
 48, 93.730, 0.045, 98.565,4646.789925575256
 49, 93.610, 0.045, 98.542,4737.6985120773315
 50, 93.710, 0.041, 98.623,4828.494584798813
