epoch,accuracy,time
1    ,98.380  ,87.3298237323761
2    ,98.890  ,175.98346996307373
3    ,99.070  ,268.4840750694275
4    ,99.350  ,363.1169385910034
5    ,99.340  ,457.5229823589325
6    ,99.080  ,587.4143214225769
7    ,99.370  ,771.5110945701599
8    ,99.300  ,959.1270735263824
9    ,99.470  ,1147.0474982261658
10   ,99.440  ,1334.819655418396
11   ,99.270  ,1522.508716583252
12   ,99.440  ,1710.163685798645
13   ,99.430  ,1898.0377917289734
14   ,99.330  ,2085.8801929950714
15   ,99.380  ,2273.619464159012
16   ,99.390  ,2461.267502307892
17   ,99.370  ,2649.024033308029
18   ,99.530  ,2837.234484910965
19   ,99.460  ,3025.370363712311
20   ,99.600  ,3213.822590827942
21   ,99.480  ,3401.996685743332
22   ,99.180  ,3589.592133998871
23   ,99.450  ,3777.3033373355865
24   ,99.480  ,3965.4790370464325
25   ,99.450  ,4153.215728998184
26   ,99.370  ,4341.023821592331
27   ,99.380  ,4528.834904670715
28   ,99.330  ,4716.5978808403015
29   ,99.380  ,4904.3355276584625
30   ,99.620  ,5092.211239099503
31   ,99.620  ,5280.128617286682
32   ,99.590  ,5467.915903568268
33   ,99.610  ,5655.767253160477
34   ,99.590  ,5843.4706308841705
35   ,99.590  ,6031.441333770752
36   ,99.600  ,6219.269743680954
37   ,99.580  ,6407.091299057007
38   ,99.580  ,6594.880761861801
39   ,99.600  ,6782.6275634765625
40   ,99.620  ,6970.415653705597
41   ,99.600  ,7158.142097949982
42   ,99.580  ,7345.939368009567
43   ,99.590  ,7533.782618761063
44   ,99.610  ,7721.563512086868
45   ,99.620  ,7909.414686203003
46   ,99.630  ,8097.433390140533
47   ,99.620  ,8285.25395488739
48   ,99.580  ,8473.050956010818
49   ,99.600  ,8660.88789987564
50   ,99.590  ,8848.707616329193
