epoch,accuracy,time
1    ,92.590  ,181.74784088134766
2    ,95.670  ,368.8880445957184
3    ,96.840  ,556.6324505805969
4    ,98.150  ,744.5925192832947
5    ,97.280  ,932.334540605545
6    ,98.230  ,1119.879302740097
7    ,98.850  ,1308.1576671600342
8    ,98.670  ,1495.6489310264587
9    ,98.960  ,1683.7447669506073
10   ,99.120  ,1871.4799675941467
11   ,99.020  ,2059.151574611664
12   ,99.110  ,2246.663332939148
13   ,98.750  ,2434.010073900223
14   ,98.760  ,2621.864688873291
15   ,99.100  ,2809.50173163414
16   ,99.240  ,2997.446788549423
17   ,99.230  ,3184.8240332603455
18   ,98.420  ,3372.606575012207
19   ,99.230  ,3560.3224618434906
20   ,99.220  ,3747.7019720077515
21   ,99.140  ,3935.078977584839
22   ,99.210  ,4122.501866102219
23   ,99.330  ,4310.240510463715
24   ,99.430  ,4498.285328626633
25   ,99.250  ,4685.974710226059
26   ,99.410  ,4873.486618280411
27   ,99.300  ,5060.898355007172
28   ,99.440  ,5248.55039024353
29   ,99.300  ,5436.547405719757
30   ,99.320  ,5624.01038479805
31   ,99.320  ,5811.472755908966
32   ,99.370  ,5998.836859464645
33   ,99.360  ,6186.248411893845
34   ,99.370  ,6373.64688873291
35   ,99.380  ,6561.022139549255
36   ,99.360  ,6748.38655424118
37   ,99.440  ,6935.867918968201
38   ,99.420  ,7123.282480716705
39   ,99.440  ,7310.692970991135
40   ,99.390  ,7498.19664978981
41   ,99.400  ,7685.375338077545
42   ,99.400  ,7872.816603183746
43   ,99.400  ,8060.255361557007
44   ,99.320  ,8247.72266459465
45   ,99.320  ,8383.808124780655
46   ,99.400  ,8473.513308286667
47   ,99.410  ,8562.955821037292
48   ,99.450  ,8653.08133482933
49   ,99.420  ,8742.988030910492
50   ,99.370  ,8832.710433244705
