epoch,accuracy,train_loss,train_acc,time
  1,97.540,97.540,97.540,77.54079341888428
  2,99.020,99.020,99.020,156.6430959701538
  3,99.110,99.110,99.110,235.4603750705719
  4,98.850,98.850,98.850,314.4683690071106
  5,99.010,99.010,99.010,393.51749992370605
  6,99.230,99.230,99.230,472.97075366973877
  7,99.440,99.440,99.440,551.8565752506256
  8,99.060,99.060,99.060,630.7312541007996
  9,99.290,99.290,99.290,709.7603893280029
 10,99.360,99.360,99.360,788.4920327663422
 11,99.430,99.430,99.430,867.0809745788574
 12,99.360,99.360,99.360,945.8629152774811
 13,99.260,99.260,99.260,1024.703740119934
 14,99.460,99.460,99.460,1103.751963853836
 15,99.300,99.300,99.300,1182.7591395378113
 16,99.450,99.450,99.450,1261.8977642059326
 17,99.410,99.410,99.410,1341.5448665618896
 18,99.410,99.410,99.410,1420.1993780136108
 19,99.450,99.450,99.450,1499.2619907855988
 20,99.440,99.440,99.440,1578.1514213085175
 21,99.470,99.470,99.470,1657.2524609565735
 22,99.410,99.410,99.410,1735.832636833191
 23,99.460,99.460,99.460,1815.0738282203674
 24,99.370,99.370,99.370,1893.9152393341064
 25,99.370,99.370,99.370,1973.1904907226562
 26,99.430,99.430,99.430,2052.2640013694763
 27,99.530,99.530,99.530,2131.6127231121063
 28,99.420,99.420,99.420,2210.5595166683197
 29,99.460,99.460,99.460,2290.0121212005615
 30,99.560,99.560,99.560,2369.35769033432
 31,99.550,99.550,99.550,2447.915373802185
 32,99.590,99.590,99.590,2527.0088307857513
 33,99.610,99.610,99.610,2606.900726079941
 34,99.600,99.600,99.600,2685.3397455215454
 35,99.590,99.590,99.590,2764.584229707718
 36,99.590,99.590,99.590,2843.874782562256
 37,99.640,99.640,99.640,2923.1479394435883
 38,99.630,99.630,99.630,3002.1194744110107
 39,99.650,99.650,99.650,3081.324245452881
 40,99.620,99.620,99.620,3160.2176897525787
 41,99.650,99.650,99.650,3239.494110584259
 42,99.580,99.580,99.580,3318.1502072811127
 43,99.610,99.610,99.610,3397.402808189392
 44,99.600,99.600,99.600,3476.0538136959076
 45,99.630,99.630,99.630,3554.72545003891
 46,99.580,99.580,99.580,3633.5534887313843
 47,99.610,99.610,99.610,3712.198950767517
 48,99.620,99.620,99.620,3790.6217045783997
 49,99.610,99.610,99.610,3869.6433000564575
 50,99.590,99.590,99.590,3948.2141852378845
