epoch,accuracy,train_loss,train_acc,time
  1,90.630,90.630,90.630,75.23353958129883
  2,97.680,97.680,97.680,155.00609803199768
  3,97.780,97.780,97.780,236.19305086135864
  4,97.370,97.370,97.370,317.5638859272003
  5,98.450,98.450,98.450,399.4857521057129
  6,98.500,98.500,98.500,481.64874935150146
  7,98.970,98.970,98.970,564.0011117458344
  8,99.150,99.150,99.150,646.2672119140625
  9,99.050,99.050,99.050,728.3562126159668
 10,98.890,98.890,98.890,810.3705661296844
 11,99.010,99.010,99.010,892.0486648082733
 12,98.940,98.940,98.940,974.1527674198151
 13,99.170,99.170,99.170,1056.257911682129
 14,99.430,99.430,99.430,1138.5391509532928
 15,99.310,99.310,99.310,1220.7384626865387
 16,99.020,99.020,99.020,1303.0993084907532
 17,98.950,98.950,98.950,1385.1135656833649
 18,99.360,99.360,99.360,1466.7338452339172
 19,99.280,99.280,99.280,1548.851454257965
 20,99.380,99.380,99.380,1631.0577065944672
 21,99.200,99.200,99.200,1712.9128715991974
 22,99.460,99.460,99.460,1795.2767255306244
 23,99.290,99.290,99.290,1877.5685126781464
 24,99.350,99.350,99.350,1959.6845803260803
 25,99.300,99.300,99.300,2041.927353143692
 26,99.020,99.020,99.020,2123.930422782898
 27,99.340,99.340,99.340,2206.1954877376556
 28,99.500,99.500,99.500,2288.573397397995
 29,99.310,99.310,99.310,2370.7485303878784
 30,99.460,99.460,99.460,2452.6059753894806
 31,99.370,99.370,99.370,2534.7916762828827
 32,99.350,99.350,99.350,2616.663664340973
 33,99.430,99.430,99.430,2698.8112003803253
 34,99.420,99.420,99.420,2781.133674621582
 35,99.390,99.390,99.390,2863.4641587734222
 36,99.460,99.460,99.460,2945.298139810562
 37,99.440,99.440,99.440,3027.5078098773956
 38,99.430,99.430,99.430,3109.863737344742
 39,99.420,99.420,99.420,3191.8092913627625
 40,99.490,99.490,99.490,3273.723329305649
 41,99.430,99.430,99.430,3355.5632610321045
 42,99.410,99.410,99.410,3437.5413360595703
 43,99.410,99.410,99.410,3519.40127658844
 44,99.380,99.380,99.380,3601.602909564972
 45,99.430,99.430,99.430,3683.612638950348
 46,99.440,99.440,99.440,3764.7729053497314
 47,99.400,99.400,99.400,3845.8279361724854
 48,99.380,99.380,99.380,3927.6701109409332
 49,99.400,99.400,99.400,4009.5502932071686
 50,99.420,99.420,99.420,4091.649912595749
