epoch,accuracy,train_loss,train_acc,time
  1, 97.990, 0.272, 91.214,78.41316938400269
  2, 98.870, 0.068, 98.105,157.65555095672607
  3, 99.000, 0.051, 98.657,236.6219344139099
  4, 99.190, 0.041, 98.897,315.71613693237305
  5, 99.090, 0.037, 99.116,394.597576379776
  6, 99.190, 0.033, 99.235,473.49577617645264
  7, 99.100, 0.029, 99.277,552.1913278102875
  8, 99.370, 0.026, 99.442,631.0964088439941
  9, 99.420, 0.024, 99.464,710.1032931804657
 10, 99.160, 0.022, 99.539,788.8381013870239
 11, 99.350, 0.023, 99.544,867.7079479694366
 12, 99.440, 0.020, 99.584,946.7990939617157
 13, 99.360, 0.021, 99.553,1026.052489042282
 14, 99.500, 0.019, 99.643,1105.316731452942
 15, 99.230, 0.017, 99.651,1184.5281989574432
 16, 99.470, 0.018, 99.649,1263.1864194869995
 17, 99.390, 0.016, 99.708,1342.4088189601898
 18, 99.500, 0.017, 99.687,1421.0933020114899
 19, 99.390, 0.017, 99.713,1500.1092004776
 20, 99.430, 0.015, 99.701,1579.1594579219818
 21, 99.400, 0.015, 99.717,1658.5027830600739
 22, 99.430, 0.015, 99.725,1737.5485401153564
 23, 99.520, 0.014, 99.762,1816.9865200519562
 24, 99.510, 0.015, 99.750,1895.8464164733887
 25, 99.390, 0.014, 99.806,1974.7509701251984
 26, 99.540, 0.013, 99.785,2053.5845136642456
 27, 99.440, 0.014, 99.761,2132.7469830513
 28, 99.570, 0.012, 99.848,2212.096457719803
 29, 99.380, 0.013, 99.796,2291.570899248123
 30, 99.710, 0.006, 100.010,2371.0823907852173
 31, 99.640, 0.005, 100.075,2450.285640001297
 32, 99.640, 0.004, 100.102,2529.4690935611725
 33, 99.670, 0.003, 100.127,2607.635549068451
 34, 99.660, 0.003, 100.119,2686.385539293289
 35, 99.660, 0.003, 100.137,2764.869882583618
 36, 99.660, 0.003, 100.132,2843.493386745453
 37, 99.670, 0.003, 100.132,2922.3071422576904
 38, 99.660, 0.003, 100.143,3000.929766893387
 39, 99.660, 0.003, 100.145,3079.7504336833954
 40, 99.670, 0.002, 100.152,3158.049371957779
 41, 99.690, 0.002, 100.145,3236.610207080841
 42, 99.690, 0.002, 100.135,3315.525819540024
 43, 99.680, 0.002, 100.159,3394.040922641754
 44, 99.660, 0.002, 100.169,3472.848875284195
 45, 99.640, 0.002, 100.167,3551.8647060394287
 46, 99.650, 0.002, 100.160,3630.389996290207
 47, 99.670, 0.002, 100.155,3709.325021505356
 48, 99.650, 0.002, 100.150,3788.181274652481
 49, 99.660, 0.002, 100.162,3866.533626317978
 50, 99.650, 0.002, 100.167,3945.682068824768
