epoch,accuracy,train_loss,train_acc,time
  1, 98.300, 0.271, 91.313,87.94931149482727
  2, 97.150, 0.068, 98.122,175.8701455593109
  3, 98.920, 0.050, 98.669,263.7210166454315
  4, 99.170, 0.039, 99.025,351.45446825027466
  5, 99.170, 0.034, 99.147,438.68923473358154
  6, 99.240, 0.031, 99.238,526.1899993419647
  7, 99.220, 0.029, 99.319,613.6062407493591
  8, 99.260, 0.026, 99.402,701.0761294364929
  9, 99.350, 0.023, 99.476,788.7859408855438
 10, 99.380, 0.022, 99.544,876.5099980831146
 11, 99.120, 0.021, 99.588,963.8181018829346
 12, 98.930, 0.020, 99.592,1051.3208150863647
 13, 99.440, 0.018, 99.672,1139.1405594348907
 14, 99.440, 0.018, 99.592,1226.6959557533264
 15, 99.400, 0.017, 99.696,1314.1187136173248
 16, 99.430, 0.017, 99.674,1401.4904000759125
 17, 99.490, 0.015, 99.748,1489.3155899047852
 18, 99.390, 0.017, 99.687,1576.673901796341
 19, 99.470, 0.015, 99.766,1664.067029953003
 20, 99.390, 0.015, 99.726,1751.3502583503723
 21, 99.500, 0.015, 99.730,1838.986908197403
 22, 99.340, 0.014, 99.805,1926.5257313251495
 23, 99.340, 0.013, 99.782,2014.1579940319061
 24, 99.590, 0.015, 99.759,2102.107843875885
 25, 99.540, 0.013, 99.788,2189.404297351837
 26, 99.170, 0.013, 99.804,2276.950436592102
 27, 99.400, 0.014, 99.755,2364.5792665481567
 28, 99.350, 0.012, 99.831,2452.240736722946
 29, 99.320, 0.012, 99.871,2539.9305543899536
 30, 99.570, 0.006, 100.027,2627.610860109329
 31, 99.620, 0.004, 100.109,2715.180295228958
 32, 99.600, 0.004, 100.125,2802.7367973327637
 33, 99.660, 0.003, 100.112,2890.609659910202
 34, 99.630, 0.003, 100.117,2978.0382862091064
 35, 99.620, 0.003, 100.137,3065.7045011520386
 36, 99.650, 0.003, 100.139,3153.2344801425934
 37, 99.660, 0.003, 100.135,3240.9707572460175
 38, 99.640, 0.002, 100.150,3328.6442334651947
 39, 99.670, 0.002, 100.157,3416.5676169395447
 40, 99.670, 0.002, 100.152,3504.3494141101837
 41, 99.650, 0.002, 100.154,3591.9825608730316
 42, 99.590, 0.002, 100.165,3679.6409096717834
 43, 99.630, 0.002, 100.175,3767.1701097488403
 44, 99.640, 0.002, 100.155,3854.7888922691345
 45, 99.660, 0.002, 100.152,3942.36581158638
 46, 99.630, 0.002, 100.159,4029.700515270233
 47, 99.670, 0.002, 100.172,4117.277587890625
 48, 99.660, 0.002, 100.170,4204.99059844017
 49, 99.630, 0.001, 100.175,4292.539896726608
 50, 99.680, 0.002, 100.162,4380.5013217926025
