epoch,accuracy,train_loss,train_acc,time
  1, 97.940, 0.277, 91.090,78.46580338478088
  2, 98.810, 0.068, 98.172,157.2206780910492
  3, 98.490, 0.049, 98.736,235.80798435211182
  4, 99.230, 0.040, 99.002,314.61477041244507
  5, 98.990, 0.034, 99.135,392.96572947502136
  6, 99.210, 0.032, 99.211,471.99946188926697
  7, 99.020, 0.028, 99.410,550.1098790168762
  8, 98.940, 0.025, 99.431,628.6580529212952
  9, 99.270, 0.023, 99.511,707.5484097003937
 10, 99.470, 0.021, 99.588,786.2792448997498
 11, 99.360, 0.021, 99.549,864.8217895030975
 12, 99.430, 0.020, 99.597,943.5355865955353
 13, 99.310, 0.019, 99.600,1022.3173041343689
 14, 99.160, 0.018, 99.654,1100.6965668201447
 15, 99.340, 0.016, 99.683,1179.2143609523773
 16, 99.370, 0.017, 99.669,1257.8115229606628
 17, 99.430, 0.015, 99.726,1336.1282954216003
 18, 99.360, 0.016, 99.696,1414.7971098423004
 19, 99.510, 0.016, 99.732,1493.5841162204742
 20, 99.560, 0.014, 99.786,1572.3508794307709
 21, 99.160, 0.013, 99.812,1650.9969029426575
 22, 99.330, 0.014, 99.775,1729.5459833145142
 23, 99.470, 0.015, 99.690,1808.5402414798737
 24, 99.370, 0.013, 99.811,1886.86350107193
 25, 99.410, 0.013, 99.808,1965.0077557563782
 26, 99.440, 0.014, 99.781,2043.631805896759
 27, 99.410, 0.013, 99.800,2122.09405374527
 28, 99.330, 0.013, 99.825,2200.5560491085052
 29, 99.500, 0.013, 99.825,2278.9822125434875
 30, 99.570, 0.007, 100.002,2357.6237473487854
 31, 99.580, 0.004, 100.068,2436.2872502803802
 32, 99.620, 0.004, 100.092,2515.0913784503937
 33, 99.600, 0.003, 100.120,2593.6260821819305
 34, 99.600, 0.003, 100.120,2672.7813580036163
 35, 99.570, 0.003, 100.130,2751.306303024292
 36, 99.580, 0.003, 100.114,2830.1133160591125
 37, 99.580, 0.003, 100.130,2908.926233768463
 38, 99.560, 0.002, 100.132,2987.2284138202667
 39, 99.600, 0.002, 100.162,3065.754307985306
 40, 99.550, 0.002, 100.162,3144.6637868881226
 41, 99.580, 0.002, 100.154,3223.0875539779663
 42, 99.530, 0.002, 100.164,3301.2616209983826
 43, 99.560, 0.002, 100.160,3379.9761950969696
 44, 99.570, 0.002, 100.160,3458.42778301239
 45, 99.590, 0.002, 100.154,3536.899574279785
 46, 99.540, 0.002, 100.179,3615.4986119270325
 47, 99.580, 0.002, 100.174,3693.769803762436
 48, 99.560, 0.002, 100.165,3772.4577095508575
 49, 99.580, 0.002, 100.170,3851.182158946991
 50, 99.550, 0.002, 100.162,3929.8993504047394
