epoch,accuracy,train_loss,train_acc,time
  1, 96.940, 0.272, 91.156,78.74440264701843
  2, 99.000, 0.064, 98.218,158.00966429710388
  3, 99.190, 0.048, 98.750,237.2397620677948
  4, 99.360, 0.038, 99.089,316.0855801105499
  5, 99.270, 0.032, 99.215,394.59922790527344
  6, 99.350, 0.030, 99.295,473.1893701553345
  7, 99.390, 0.026, 99.369,552.122145652771
  8, 99.400, 0.025, 99.464,631.4989364147186
  9, 99.280, 0.023, 99.489,710.1786415576935
 10, 99.360, 0.022, 99.521,788.3491418361664
 11, 99.400, 0.020, 99.604,867.1750349998474
 12, 99.360, 0.020, 99.582,946.1963925361633
 13, 99.400, 0.019, 99.633,1024.7074842453003
 14, 99.340, 0.017, 99.690,1103.853823184967
 15, 99.380, 0.018, 99.633,1182.7548685073853
 16, 99.460, 0.018, 99.638,1262.2473978996277
 17, 99.340, 0.016, 99.695,1341.4339950084686
 18, 99.390, 0.016, 99.673,1419.9980638027191
 19, 99.430, 0.016, 99.728,1498.8061072826385
 20, 99.400, 0.013, 99.841,1577.8537921905518
 21, 99.470, 0.015, 99.728,1656.8457100391388
 22, 99.260, 0.014, 99.791,1735.6858780384064
 23, 99.360, 0.014, 99.766,1814.3532540798187
 24, 99.490, 0.014, 99.789,1893.4178380966187
 25, 99.290, 0.013, 99.799,1972.645744085312
 26, 99.490, 0.015, 99.706,2051.512192964554
 27, 99.400, 0.012, 99.848,2129.952020406723
 28, 99.380, 0.014, 99.773,2208.9867572784424
 29, 99.430, 0.013, 99.806,2287.554808139801
 30, 99.610, 0.006, 100.026,2366.7753162384033
 31, 99.650, 0.004, 100.088,2445.6909132003784
 32, 99.640, 0.004, 100.109,2524.790990114212
 33, 99.620, 0.003, 100.124,2603.387165784836
 34, 99.610, 0.003, 100.124,2681.71350812912
 35, 99.640, 0.003, 100.132,2760.3912007808685
 36, 99.620, 0.003, 100.122,2839.38370680809
 37, 99.630, 0.003, 100.125,2917.977370738983
 38, 99.610, 0.002, 100.159,2996.5867590904236
 39, 99.650, 0.003, 100.139,3075.730367898941
 40, 99.630, 0.003, 100.142,3154.631223678589
 41, 99.620, 0.002, 100.159,3233.1752831935883
 42, 99.630, 0.002, 100.159,3312.1129229068756
 43, 99.640, 0.002, 100.159,3390.7416458129883
 44, 99.640, 0.002, 100.154,3470.0867018699646
 45, 99.620, 0.002, 100.164,3548.876329421997
 46, 99.630, 0.002, 100.154,3628.5694913864136
 47, 99.620, 0.002, 100.152,3707.065561056137
 48, 99.620, 0.002, 100.152,3785.9810338020325
 49, 99.590, 0.002, 100.152,3864.7050347328186
 50, 99.600, 0.002, 100.164,3943.5272421836853
