epoch,accuracy,train_loss,train_acc,time
  1, 97.990, 0.268, 91.349,78.15248084068298
  2, 98.970, 0.066, 98.215,156.79565477371216
  3, 98.610, 0.047, 98.703,235.068430185318
  4, 99.110, 0.039, 98.974,313.9249677658081
  5, 99.390, 0.034, 99.175,392.7992868423462
  6, 99.380, 0.031, 99.203,471.3645660877228
  7, 99.130, 0.026, 99.410,549.7910430431366
  8, 99.360, 0.025, 99.445,628.1883518695831
  9, 99.390, 0.023, 99.449,706.2103474140167
 10, 99.320, 0.021, 99.540,784.3886358737946
 11, 99.410, 0.020, 99.554,862.9813623428345
 12, 99.450, 0.020, 99.615,941.664324760437
 13, 99.460, 0.019, 99.626,1020.72531914711
 14, 99.480, 0.018, 99.671,1099.6199502944946
 15, 99.460, 0.017, 99.661,1178.0403172969818
 16, 99.400, 0.017, 99.622,1256.65682888031
 17, 99.500, 0.017, 99.647,1336.2836611270905
 18, 99.530, 0.015, 99.763,1415.2440104484558
 19, 99.470, 0.016, 99.733,1493.9595143795013
 20, 99.540, 0.014, 99.748,1572.8590123653412
 21, 99.450, 0.014, 99.741,1652.1350855827332
 22, 99.420, 0.015, 99.737,1730.8193690776825
 23, 99.430, 0.013, 99.805,1809.421438217163
 24, 99.500, 0.014, 99.770,1888.4224922657013
 25, 99.540, 0.013, 99.828,1966.370016336441
 26, 99.470, 0.014, 99.750,2045.0750374794006
 27, 99.480, 0.013, 99.805,2123.5291736125946
 28, 99.450, 0.012, 99.800,2201.6347913742065
 29, 99.530, 0.011, 99.856,2279.9965200424194
 30, 99.650, 0.006, 100.023,2358.677983522415
 31, 99.650, 0.005, 100.063,2437.412667274475
 32, 99.660, 0.004, 100.097,2516.979984521866
 33, 99.630, 0.004, 100.117,2595.3659529685974
 34, 99.630, 0.004, 100.101,2674.310985803604
 35, 99.640, 0.003, 100.147,2752.957794189453
 36, 99.670, 0.003, 100.137,2831.860777616501
 37, 99.630, 0.003, 100.140,2910.5155906677246
 38, 99.670, 0.002, 100.150,2989.1089386940002
 39, 99.660, 0.002, 100.144,3067.760854244232
 40, 99.660, 0.002, 100.145,3146.314388036728
 41, 99.680, 0.002, 100.157,3225.6880581378937
 42, 99.660, 0.002, 100.145,3304.4376153945923
 43, 99.650, 0.002, 100.150,3383.565726995468
 44, 99.670, 0.002, 100.159,3462.061997652054
 45, 99.650, 0.002, 100.154,3540.829573392868
 46, 99.670, 0.002, 100.167,3619.0615417957306
 47, 99.690, 0.002, 100.164,3697.6953122615814
 48, 99.680, 0.002, 100.175,3775.9433147907257
 49, 99.660, 0.001, 100.174,3854.5683121681213
 50, 99.680, 0.002, 100.154,3933.3888642787933
