epoch,accuracy,train_loss,train_acc,time
  1,45.040,45.040,45.040,151.4213490486145
  2,47.680,47.680,47.680,312.26866602897644
  3,60.260,60.260,60.260,472.9706451892853
  4,69.410,69.410,69.410,633.4699199199677
  5,71.500,71.500,71.500,794.1738736629486
  6,73.300,73.300,73.300,955.1022770404816
  7,76.950,76.950,76.950,1115.615238904953
  8,77.580,77.580,77.580,1276.3014080524445
  9,78.690,78.690,78.690,1436.9913148880005
 10,81.030,81.030,81.030,1597.734047651291
 11,82.100,82.100,82.100,1758.4172384738922
 12,81.900,81.900,81.900,1919.0412683486938
 13,81.670,81.670,81.670,2079.8127410411835
 14,84.470,84.470,84.470,2240.5264563560486
 15,82.860,82.860,82.860,2401.161865234375
 16,87.320,87.320,87.320,2562.006496191025
 17,87.700,87.700,87.700,2722.652449131012
 18,88.050,88.050,88.050,2883.3973474502563
 19,87.730,87.730,87.730,3043.8809900283813
 20,88.120,88.120,88.120,3204.8672897815704
 21,88.120,88.120,88.120,3365.5464646816254
 22,87.970,87.970,87.970,3525.9698026180267
 23,88.320,88.320,88.320,3686.9029593467712
 24,88.360,88.360,88.360,3847.8523728847504
 25,88.400,88.400,88.400,4008.6584458351135
 26,88.910,88.910,88.910,4169.800226926804
 27,88.890,88.890,88.890,4330.09548830986
 28,88.290,88.290,88.290,4491.085333108902
 29,88.510,88.510,88.510,4651.90352845192
 30,88.800,88.800,88.800,4812.630630970001
 31,89.020,89.020,89.020,4973.345838308334
 32,88.900,88.900,88.900,5134.106903791428
 33,89.040,89.040,89.040,5294.839282035828
 34,89.020,89.020,89.020,5455.564917564392
 35,89.220,89.220,89.220,5616.274058103561
 36,89.200,89.200,89.200,5776.907719612122
 37,89.310,89.310,89.310,5937.916562795639
 38,89.150,89.150,89.150,6098.668447971344
 39,89.180,89.180,89.180,6259.333591461182
 40,89.070,89.070,89.070,6420.139665603638
 41,88.820,88.820,88.820,6580.905282258987
 42,88.840,88.840,88.840,6741.666084051132
 43,89.050,89.050,89.050,6902.440569639206
 44,89.100,89.100,89.100,7063.20476269722
 45,89.220,89.220,89.220,7223.845009088516
 46,89.220,89.220,89.220,7384.569185018539
 47,88.910,88.910,88.910,7545.515925884247
 48,89.210,89.210,89.210,7706.224898338318
 49,89.010,89.010,89.010,7867.186288118362
 50,89.050,89.050,89.050,8027.985738515854
