epoch,accuracy,train_loss,train_acc,time
  1,17.780,17.780,17.780,149.61410927772522
  2,36.380,36.380,36.380,308.3247926235199
  3,48.530,48.530,48.530,467.0283148288727
  4,47.330,47.330,47.330,625.4515416622162
  5,57.630,57.630,57.630,784.1176583766937
  6,59.830,59.830,59.830,943.0672311782837
  7,57.500,57.500,57.500,1101.4994649887085
  8,64.600,64.600,64.600,1260.095862865448
  9,62.480,62.480,62.480,1418.4343800544739
 10,69.550,69.550,69.550,1577.3294558525085
 11,57.720,57.720,57.720,1736.0398502349854
 12,72.250,72.250,72.250,1894.7614912986755
 13,72.980,72.980,72.980,2053.4421303272247
 14,70.720,70.720,70.720,2212.1354961395264
 15,77.040,77.040,77.040,2371.0989627838135
 16,77.820,77.820,77.820,2530.3033924102783
 17,79.870,79.870,79.870,2688.93959069252
 18,79.980,79.980,79.980,2847.641895532608
 19,80.700,80.700,80.700,3006.3554797172546
 20,80.410,80.410,80.410,3165.11963391304
 21,80.370,80.370,80.370,3324.021610021591
 22,80.660,80.660,80.660,3482.680730819702
 23,80.900,80.900,80.900,3641.7088170051575
 24,81.020,81.020,81.020,3800.430257797241
 25,80.990,80.990,80.990,3958.989904642105
 26,81.150,81.150,81.150,4118.0158133506775
 27,81.130,81.130,81.130,4276.940020799637
 28,81.480,81.480,81.480,4435.629852771759
 29,81.660,81.660,81.660,4594.489060163498
 30,81.310,81.310,81.310,4752.921364784241
 31,81.430,81.430,81.430,4911.773737192154
 32,81.970,81.970,81.970,5070.530367612839
 33,81.720,81.720,81.720,5229.296804428101
 34,81.990,81.990,81.990,5388.302177906036
 35,82.160,82.160,82.160,5547.257550477982
 36,82.050,82.050,82.050,5705.937292337418
 37,81.990,81.990,81.990,5864.661514997482
 38,82.020,82.020,82.020,6023.380709886551
 39,82.080,82.080,82.080,6181.834247350693
 40,82.320,82.320,82.320,6340.924165248871
 41,82.360,82.360,82.360,6499.952999830246
 42,82.150,82.150,82.150,6659.408325910568
 43,82.250,82.250,82.250,6818.0663850307465
 44,82.160,82.160,82.160,6976.815574645996
 45,82.140,82.140,82.140,7135.529764413834
 46,82.260,82.260,82.260,7294.34214925766
 47,82.300,82.300,82.300,7452.670597791672
 48,82.500,82.500,82.500,7611.600594758987
 49,82.390,82.390,82.390,7770.583427190781
 50,82.150,82.150,82.150,7929.280921936035
