epoch,accuracy,train_loss,train_acc,time
  1, 94.150, 0.848, 71.387,67.13180017471313
  2, 96.940, 0.271, 91.812,134.15536499023438
  3, 97.530, 0.192, 94.242,201.9092571735382
  4, 97.440, 0.159, 95.263,269.60870695114136
  5, 97.890, 0.138, 95.979,337.67956042289734
  6, 98.180, 0.129, 96.267,406.010879278183
  7, 97.840, 0.117, 96.623,473.18189811706543
  8, 98.430, 0.107, 96.980,541.3017573356628
  9, 98.650, 0.101, 97.123,609.3015003204346
 10, 97.220, 0.096, 97.285,676.9283304214478
 11, 98.360, 0.093, 97.389,744.5507118701935
 12, 98.840, 0.088, 97.522,812.8031640052795
 13, 98.480, 0.087, 97.546,880.5122742652893
 14, 98.640, 0.083, 97.701,948.364227771759
 15, 98.430, 0.081, 97.695,1016.4046220779419
 16, 98.220, 0.078, 97.808,1084.4973585605621
 17, 98.420, 0.078, 97.879,1152.3251490592957
 18, 98.560, 0.077, 97.834,1220.1909964084625
 19, 98.320, 0.070, 98.076,1287.8328518867493
 20, 98.580, 0.071, 98.047,1355.717781305313
 21, 97.880, 0.068, 98.084,1423.478287935257
 22, 98.720, 0.070, 98.011,1491.4533817768097
 23, 98.220, 0.068, 98.095,1559.529132604599
 24, 98.230, 0.066, 98.172,1627.2176167964935
 25, 98.930, 0.066, 98.139,1695.2995836734772
 26, 98.890, 0.063, 98.241,1763.1285893917084
 27, 98.470, 0.064, 98.278,1830.890056848526
 28, 98.670, 0.062, 98.329,1898.4678995609283
 29, 98.680, 0.061, 98.259,1965.9313986301422
 30, 98.960, 0.051, 98.604,2034.033266544342
 31, 98.980, 0.047, 98.761,2101.843401670456
 32, 98.940, 0.046, 98.737,2169.599865436554
 33, 98.870, 0.045, 98.771,2237.4917550086975
 34, 98.970, 0.045, 98.828,2305.344131708145
 35, 99.000, 0.042, 98.874,2373.549182653427
 36, 98.950, 0.044, 98.873,2441.3622562885284
 37, 98.910, 0.042, 98.928,2508.9929950237274
 38, 98.960, 0.042, 98.917,2576.403133869171
 39, 98.830, 0.041, 98.879,2643.7860918045044
 40, 98.950, 0.042, 98.915,2712.5410866737366
 41, 98.890, 0.042, 98.953,2783.167154788971
 42, 98.990, 0.041, 98.919,2854.624041557312
 43, 99.010, 0.041, 98.875,2922.626567363739
 44, 98.990, 0.040, 98.960,2990.306505918503
 45, 98.890, 0.039, 98.971,3058.1587138175964
 46, 98.970, 0.042, 98.882,3125.928367614746
 47, 99.000, 0.040, 98.917,3193.8500394821167
 48, 99.060, 0.040, 98.994,3262.0628492832184
 49, 99.030, 0.040, 98.937,3329.6729097366333
 50, 98.980, 0.039, 98.998,3397.578015565872
