epoch,accuracy,train_loss,train_acc,time
  1, 96.100, 0.688, 77.204,129.12868738174438
  2, 98.900, 0.105, 97.020,262.06667017936707
  3, 98.890, 0.068, 98.143,391.0903744697571
  4, 98.530, 0.055, 98.555,519.45068192482
  5, 99.240, 0.048, 98.772,647.2572150230408
  6, 99.030, 0.042, 98.908,775.5770030021667
  7, 99.260, 0.038, 99.055,904.4354205131531
  8, 99.360, 0.036, 99.094,1033.7155106067657
  9, 99.480, 0.033, 99.195,1162.0017507076263
 10, 99.060, 0.032, 99.220,1290.4216272830963
 11, 99.210, 0.030, 99.332,1418.4108629226685
 12, 99.460, 0.027, 99.349,1548.0625185966492
 13, 99.280, 0.028, 99.345,1675.6115896701813
 14, 99.420, 0.026, 99.418,1803.2407920360565
 15, 99.440, 0.025, 99.415,1935.3270509243011
 16, 99.250, 0.028, 99.302,2063.4495911598206
 17, 99.480, 0.024, 99.466,2191.2542815208435
 18, 99.130, 0.023, 99.459,2319.366217851639
 19, 99.110, 0.023, 99.525,2447.0518016815186
 20, 99.480, 0.021, 99.545,2575.514325618744
 21, 99.470, 0.023, 99.523,2703.048738002777
 22, 99.360, 0.022, 99.479,2832.111805200577
 23, 99.210, 0.020, 99.579,2959.320280790329
 24, 99.430, 0.021, 99.522,3087.0132114887238
 25, 99.030, 0.018, 99.634,3215.6081895828247
 26, 99.400, 0.021, 99.530,3344.4190752506256
 27, 99.490, 0.019, 99.619,3473.7720024585724
 28, 99.290, 0.020, 99.626,3602.40829205513
 29, 99.240, 0.018, 99.688,3731.378714323044
 30, 99.670, 0.011, 99.886,3859.8769886493683
 31, 99.660, 0.008, 99.952,3991.4719092845917
 32, 99.680, 0.007, 99.985,4120.04896068573
 33, 99.680, 0.007, 100.005,4248.647495031357
 34, 99.700, 0.007, 100.012,4375.505266189575
 35, 99.680, 0.006, 100.022,4503.211635351181
 36, 99.710, 0.006, 100.053,4631.937884807587
 37, 99.670, 0.007, 100.007,4759.725012779236
 38, 99.660, 0.006, 100.030,4887.41548871994
 39, 99.670, 0.006, 100.048,5015.811960935593
 40, 99.700, 0.005, 100.063,5144.213229894638
 41, 99.650, 0.005, 100.052,5274.47794342041
 42, 99.710, 0.005, 100.060,5406.346198797226
 43, 99.670, 0.005, 100.067,5534.748986959457
 44, 99.650, 0.005, 100.057,5662.9759957790375
 45, 99.680, 0.005, 100.078,5790.351099014282
 46, 99.690, 0.005, 100.069,5918.231830835342
 47, 99.700, 0.004, 100.087,6045.813138008118
 48, 99.690, 0.005, 100.080,6174.243545770645
 49, 99.640, 0.005, 100.083,6302.557113170624
 50, 99.680, 0.004, 100.095,6430.0507435798645
