epoch,accuracy,train_loss,train_acc,time
  1, 97.010, 0.288, 90.731,94.17454743385315
  2, 98.380, 0.073, 98.000,187.54146313667297
  3, 98.830, 0.051, 98.697,282.2148687839508
  4, 98.960, 0.042, 98.946,378.1123080253601
  5, 98.980, 0.035, 99.094,469.0605082511902
  6, 98.690, 0.033, 99.164,559.1982274055481
  7, 99.110, 0.029, 99.320,650.9024243354797
  8, 98.890, 0.025, 99.455,741.8488903045654
  9, 99.320, 0.023, 99.502,833.6667106151581
 10, 99.370, 0.022, 99.544,926.0048718452454
 11, 99.380, 0.021, 99.539,1016.7909159660339
 12, 99.330, 0.020, 99.599,1106.6598105430603
 13, 99.380, 0.018, 99.658,1198.7228865623474
 14, 99.000, 0.017, 99.664,1292.6391422748566
 15, 99.360, 0.017, 99.679,1386.9246633052826
 16, 99.190, 0.016, 99.701,1481.8329932689667
 17, 99.240, 0.016, 99.700,1573.4262130260468
 18, 99.430, 0.016, 99.719,1664.5935273170471
 19, 99.180, 0.016, 99.699,1754.5908966064453
 20, 99.380, 0.014, 99.723,1844.5496716499329
 21, 99.420, 0.012, 99.830,1936.5909564495087
 22, 99.350, 0.013, 99.788,2028.0924830436707
 23, 99.370, 0.013, 99.810,2119.910884141922
 24, 99.320, 0.014, 99.772,2211.1297013759613
 25, 99.470, 0.013, 99.826,2304.8780167102814
 26, 99.410, 0.016, 99.724,2396.4187631607056
 27, 99.450, 0.011, 99.860,2487.6349234580994
 28, 99.230, 0.014, 99.736,2579.1653604507446
 29, 99.330, 0.014, 99.759,2674.8795490264893
 30, 99.570, 0.006, 100.038,2766.5295622348785
 31, 99.580, 0.004, 100.087,2858.7406599521637
 32, 99.600, 0.004, 100.105,2950.4349417686462
 33, 99.570, 0.003, 100.142,3042.706649541855
 34, 99.560, 0.003, 100.125,3137.2488465309143
 35, 99.580, 0.003, 100.130,3230.7892689704895
 36, 99.610, 0.003, 100.127,3324.62357711792
 37, 99.570, 0.002, 100.147,3416.423982858658
 38, 99.590, 0.002, 100.155,3508.1254122257233
 39, 99.570, 0.003, 100.132,3600.4352447986603
 40, 99.560, 0.002, 100.141,3694.7336292266846
 41, 99.570, 0.002, 100.167,3786.258840560913
 42, 99.560, 0.002, 100.160,3878.0773091316223
 43, 99.600, 0.002, 100.167,3969.876986026764
 44, 99.610, 0.002, 100.169,4063.3035547733307
 45, 99.590, 0.002, 100.162,4155.122121810913
 46, 99.620, 0.002, 100.155,4246.926059007645
 47, 99.610, 0.002, 100.154,4337.753236293793
 48, 99.550, 0.002, 100.177,4429.7096490859985
 49, 99.560, 0.001, 100.169,4523.234488964081
 50, 99.570, 0.001, 100.177,4614.64244222641
