epoch,accuracy,time
1,27.720,276.6093204021454
2,35.600,556.771933555603
3,29.670,838.9732344150543
4,39.760,1119.7854733467102
5,29.880,1401.3020589351654
6,25.570,1681.5460891723633
7,45.580,1961.8822648525238
8,41.640,2241.7348058223724
9,55.040,2522.1176171302795
10,56.400,2802.788622379303
11,61.860,3082.825231075287
12,57.370,3363.3446094989777
13,60.510,3643.752769470215
14,59.320,3923.919737815857
15,65.240,4204.604345083237
16,66.920,4486.8732035160065
17,61.860,4767.593506574631
18,38.690,5050.473789691925
19,66.240,5330.806216716766
20,69.990,5611.464030981064
21,72.130,5892.076239824295
22,73.050,6172.630347490311
23,74.830,6453.205719947815
24,74.060,6733.327130794525
25,71.270,7013.9596428871155
26,74.970,7294.963275671005
27,73.900,7575.331115961075
28,73.050,7857.516816139221
29,76.850,8138.0006511211395
30,82.500,8418.408713817596
31,83.040,8698.548212766647
32,82.950,8978.674857616425
33,82.710,9259.899891376495
34,83.240,9541.649033546448
35,83.240,9822.078396558762
36,83.400,10102.678196668625
37,82.680,10382.881325006485
38,83.530,10663.744542837143
39,83.300,10943.785452604294
40,83.750,11226.578995466232
41,83.340,11507.024991512299
42,84.030,11787.400079965591
43,83.890,12067.864361286163
44,83.980,12348.291097164154
45,83.120,12628.492767810822
46,84.100,12907.11851477623
47,84.860,13184.000092983246
48,84.440,13462.276706695557
49,85.350,13743.314679861069
50,84.920,14021.556146144867
