epoch,accuracy,time
  1,64.510,178.6270456314087
  2,76.400,356.93281507492065
  3,77.790,535.7703669071198
  4,80.410,714.153890132904
  5,82.580,893.1047945022583
  6,83.630,1071.6867208480835
  7,86.240,1250.4548037052155
  8,86.080,1429.19305062294
  9,84.120,1607.476836681366
 10,84.970,1785.7505466938019
 11,87.840,1964.4099326133728
 12,86.680,2142.7057468891144
 13,87.000,2320.798279285431
 14,84.970,2499.330507516861
 15,87.040,2677.512531518936
 16,87.230,2855.8716077804565
 17,88.170,3034.7194168567657
 18,87.240,3212.9569959640503
 19,88.360,3391.868898630142
 20,88.470,3570.4434027671814
 21,88.090,3748.877902030945
 22,87.950,3927.1866846084595
 23,89.150,4105.941526651382
 24,88.630,4284.2337119579315
 25,89.170,4463.269865989685
 26,88.850,4641.718519449234
 27,89.110,4820.279935836792
 28,89.180,4998.900976896286
 29,90.100,5177.140100717545
 30,91.860,5355.8060393333435
 31,91.960,5534.346245765686
 32,91.990,5713.1915628910065
 33,92.140,5891.781982660294
 34,92.360,6070.025361537933
 35,92.460,6248.291075706482
 36,92.630,6426.75571680069
 37,92.670,6605.566728115082
 38,92.470,6783.908677816391
 39,92.280,6962.184998750687
 40,92.470,7140.455137729645
 41,92.130,7318.735555410385
 42,92.650,7496.790354251862
 43,92.570,7675.232007026672
 44,92.600,7853.755298614502
 45,92.770,8032.614984750748
 46,92.670,8210.932744979858
 47,92.780,8389.655403614044
 48,92.470,8568.006947994232
 49,92.790,8663.668212652206
 50,92.910,8748.261563777924
