epoch,accuracy,time
  1,89.560,174.9673445224762
  2,86.060,348.7340795993805
  3,85.930,524.9215230941772
  4,86.600,701.105614900589
  5,89.320,877.0186114311218
  6,90.090,1053.5295736789703
  7,89.460,1229.6486105918884
  8,89.840,1406.0267343521118
  9,87.360,1582.6223447322845
 10,89.140,1758.7901391983032
 11,89.260,1935.1619946956635
 12,89.390,2111.196493625641
 13,89.810,2287.5498366355896
 14,90.220,2464.2054324150085
 15,90.130,2640.4138119220734
 16,91.470,2817.1424226760864
 17,89.160,2993.5197632312775
 18,90.740,3169.7647919654846
 19,90.060,3345.9633297920227
 20,90.260,3522.090977668762
 21,89.160,3698.4565641880035
 22,89.790,3874.7128801345825
 23,90.330,4051.1110458374023
 24,90.360,4227.678890705109
 25,91.210,4404.055651426315
 26,90.470,4580.487366676331
 27,91.190,4756.93529343605
 28,91.130,4933.354825735092
 29,91.050,5109.740556001663
 30,92.100,5286.465807676315
 31,92.320,5463.062880516052
 32,92.270,5639.000202655792
 33,92.390,5815.227790594101
 34,92.520,5991.636019706726
 35,92.540,6168.2822523117065
 36,92.460,6344.608936786652
 37,92.450,6520.912132740021
 38,92.690,6697.612243175507
 39,92.700,6873.994971752167
 40,92.500,7050.380524635315
 41,92.510,7226.628837108612
 42,92.320,7403.12033700943
 43,92.740,7579.732742547989
 44,92.750,7756.3495099544525
 45,92.520,7932.737651109695
 46,92.650,8109.18797492981
 47,92.660,8285.537851810455
 48,92.660,8461.929557085037
 49,92.950,8638.664668560028
 50,92.870,8815.021687030792
