epoch,accuracy,train_loss,train_acc,time
  1, 50.940, 1.677, 37.986,40.78577733039856
  2, 62.300, 1.266, 54.480,81.92894840240479
  3, 66.330, 1.027, 63.557,123.09725189208984
  4, 69.010, 0.906, 68.251,164.06726574897766
  5, 72.650, 0.817, 71.540,205.6835868358612
  6, 74.650, 0.738, 74.667,246.6795313358307
  7, 75.740, 0.677, 76.520,288.101847410202
  8, 79.540, 0.638, 78.091,328.90356969833374
  9, 79.600, 0.603, 79.373,369.91920709609985
 10, 81.400, 0.572, 80.438,411.8955810070038
 11, 82.360, 0.538, 81.803,453.3097188472748
 12, 83.060, 0.523, 82.357,494.6194899082184
 13, 80.640, 0.503, 82.960,535.3108882904053
 14, 82.400, 0.480, 83.653,575.7188415527344
 15, 85.380, 0.466, 84.247,616.6990492343903
 16, 83.730, 0.451, 84.688,657.42942070961
 17, 84.640, 0.443, 85.064,698.0645327568054
 18, 85.930, 0.425, 85.570,739.5765714645386
 19, 86.090, 0.411, 86.109,780.9347515106201
 20, 84.090, 0.403, 86.311,822.0532610416412
 21, 86.230, 0.403, 86.415,863.2970545291901
 22, 84.960, 0.388, 86.794,904.2488758563995
 23, 86.200, 0.380, 87.006,944.6103761196136
 24, 86.240, 0.373, 87.294,985.1865785121918
 25, 86.880, 0.364, 87.657,1026.146700143814
 26, 87.420, 0.358, 87.793,1067.0739636421204
 27, 86.540, 0.354, 87.795,1107.8626277446747
 28, 86.740, 0.350, 88.133,1149.1174812316895
 29, 85.820, 0.335, 88.521,1190.052928686142
 30, 90.670, 0.258, 91.282,1231.7172458171844
 31, 90.630, 0.234, 92.093,1272.9086465835571
 32, 91.210, 0.224, 92.480,1314.1368522644043
 33, 90.690, 0.214, 92.871,1355.4551026821136
 34, 90.740, 0.214, 92.878,1397.0680711269379
 35, 91.000, 0.207, 92.992,1437.8520233631134
 36, 91.180, 0.196, 93.428,1479.070937871933
 37, 91.270, 0.197, 93.348,1520.6635310649872
 38, 91.130, 0.193, 93.443,1561.4683158397675
 39, 91.100, 0.190, 93.556,1601.9892492294312
 40, 91.200, 0.192, 93.565,1642.7939155101776
 41, 91.070, 0.185, 93.643,1683.451122045517
 42, 90.990, 0.185, 93.744,1724.4535927772522
 43, 91.000, 0.182, 93.802,1764.8616631031036
 44, 91.170, 0.177, 94.010,1805.962385892868
 45, 91.150, 0.177, 93.917,1846.7322909832
 46, 91.200, 0.172, 94.215,1887.9940633773804
 47, 91.320, 0.173, 94.082,1928.9591691493988
 48, 91.200, 0.171, 94.050,1969.98557305336
 49, 91.350, 0.166, 94.384,2011.0348589420319
 50, 91.290, 0.166, 94.385,2052.2286372184753
