epoch,accuracy,train_loss,train_acc,time
  1, 84.140, 0.657, 75.337,58.881850481033325
  2, 87.650, 0.373, 86.387,116.86092352867126
  3, 89.210, 0.320, 88.323,173.44474267959595
  4, 90.650, 0.287, 89.711,231.92896580696106
  5, 91.300, 0.264, 90.688,289.2873623371124
  6, 90.850, 0.249, 91.096,347.0230133533478
  7, 91.460, 0.240, 91.406,404.97764468193054
  8, 91.850, 0.229, 91.819,463.62081241607666
  9, 91.300, 0.220, 92.170,523.5422360897064
 10, 91.280, 0.214, 92.421,583.6082453727722
 11, 91.950, 0.208, 92.534,641.3590018749237
 12, 92.600, 0.201, 92.802,699.5767600536346
 13, 91.500, 0.195, 93.140,758.5039165019989
 14, 91.890, 0.192, 93.177,817.3961055278778
 15, 92.740, 0.187, 93.365,876.276204586029
 16, 91.830, 0.184, 93.546,933.3068611621857
 17, 93.220, 0.183, 93.602,992.5155942440033
 18, 93.110, 0.177, 93.894,1050.32515335083
 19, 92.700, 0.174, 93.854,1106.7511415481567
 20, 92.770, 0.170, 93.943,1165.0691809654236
 21, 93.000, 0.166, 94.143,1224.6829063892365
 22, 93.020, 0.169, 94.021,1282.393307209015
 23, 93.080, 0.164, 94.261,1339.2328596115112
 24, 92.850, 0.163, 94.378,1396.6990008354187
 25, 92.240, 0.158, 94.466,1455.2234046459198
 26, 92.760, 0.156, 94.464,1512.924411058426
 27, 92.310, 0.157, 94.476,1570.5545983314514
 28, 92.200, 0.155, 94.608,1628.1027088165283
 29, 92.900, 0.151, 94.601,1686.3763756752014
 30, 93.820, 0.115, 95.998,1746.5435676574707
 31, 93.860, 0.104, 96.414,1805.7335555553436
 32, 93.820, 0.099, 96.565,1862.6464672088623
 33, 93.960, 0.095, 96.618,1920.054186820984
 34, 93.980, 0.090, 96.861,1977.9483904838562
 35, 94.310, 0.089, 96.914,2036.057264328003
 36, 94.050, 0.085, 97.055,2094.330751657486
 37, 93.920, 0.085, 97.060,2151.131954908371
 38, 94.120, 0.083, 97.024,2210.6836643218994
 39, 94.080, 0.081, 97.254,2269.3589794635773
 40, 94.000, 0.079, 97.329,2326.9805533885956
 41, 94.010, 0.078, 97.340,2385.3239607810974
 42, 94.120, 0.076, 97.456,2445.2719173431396
 43, 94.180, 0.077, 97.374,2504.095941543579
 44, 94.170, 0.073, 97.512,2560.76610994339
 45, 93.960, 0.072, 97.564,2621.0470089912415
 46, 94.110, 0.070, 97.558,2681.0077035427094
 47, 94.030, 0.071, 97.569,2739.6910190582275
 48, 94.210, 0.067, 97.741,2799.8793001174927
 49, 94.110, 0.068, 97.696,2858.555018424988
 50, 94.170, 0.067, 97.739,2918.135961532593
