epoch,accuracy,train_loss,train_acc,time
  1, 96.930, 0.333, 89.259,57.596884965896606
  2, 98.670, 0.076, 97.904,119.36329627037048
  3, 98.780, 0.056, 98.488,176.27534937858582
  4, 98.950, 0.046, 98.862,233.03042769432068
  5, 98.940, 0.040, 98.978,290.8371605873108
  6, 99.260, 0.034, 99.152,350.1331877708435
  7, 99.320, 0.030, 99.292,410.58300018310547
  8, 99.320, 0.030, 99.257,467.84801197052
  9, 99.410, 0.028, 99.361,524.8040990829468
 10, 99.410, 0.025, 99.419,583.5903871059418
 11, 99.400, 0.024, 99.454,641.4507207870483
 12, 99.390, 0.023, 99.513,699.6020429134369
 13, 99.350, 0.021, 99.523,756.2921416759491
 14, 99.450, 0.021, 99.540,815.2755575180054
 15, 99.380, 0.021, 99.584,874.0142545700073
 16, 99.410, 0.019, 99.632,930.3396949768066
 17, 99.330, 0.020, 99.557,989.3762607574463
 18, 99.340, 0.018, 99.676,1046.211741924286
 19, 99.230, 0.018, 99.648,1105.326111793518
 20, 99.240, 0.018, 99.638,1162.1040089130402
 21, 99.400, 0.017, 99.644,1220.2022106647491
 22, 99.250, 0.016, 99.723,1279.5430381298065
 23, 99.300, 0.016, 99.681,1336.4582209587097
 24, 99.280, 0.017, 99.667,1394.1228635311127
 25, 99.380, 0.016, 99.701,1452.3107998371124
 26, 99.240, 0.014, 99.752,1509.8127493858337
 27, 99.240, 0.017, 99.695,1567.5107023715973
 28, 99.180, 0.016, 99.683,1626.4864683151245
 29, 99.470, 0.014, 99.794,1686.3380510807037
 30, 99.570, 0.007, 99.997,1746.4046125411987
 31, 99.600, 0.005, 100.067,1804.9719166755676
 32, 99.620, 0.005, 100.060,1864.1456189155579
 33, 99.610, 0.005, 100.073,1921.8121223449707
 34, 99.650, 0.005, 100.083,1979.4408457279205
 35, 99.630, 0.004, 100.102,2039.6566298007965
 36, 99.600, 0.004, 100.127,2099.1772100925446
 37, 99.620, 0.003, 100.122,2157.3338236808777
 38, 99.600, 0.004, 100.107,2215.755122900009
 39, 99.580, 0.003, 100.109,2275.1916115283966
 40, 99.610, 0.003, 100.120,2333.6479115486145
 41, 99.620, 0.003, 100.119,2392.3179318904877
 42, 99.630, 0.003, 100.145,2452.175576686859
 43, 99.620, 0.003, 100.112,2512.301707983017
 44, 99.580, 0.003, 100.122,2568.8468952178955
 45, 99.590, 0.003, 100.144,2627.54434299469
 46, 99.590, 0.003, 100.135,2685.8388302326202
 47, 99.520, 0.003, 100.125,2744.4290130138397
 48, 99.570, 0.003, 100.140,2802.638394832611
 49, 99.590, 0.003, 100.139,2861.530998945236
 50, 99.590, 0.003, 100.140,2921.2116611003876
