epoch,accuracy,train_loss,train_acc,time
  1, 44.210, 1.752, 34.136,29.9442241191864
  2, 50.940, 1.383, 49.448,59.3955237865448
  3, 62.570, 1.169, 58.170,88.5485270023346
  4, 60.860, 1.008, 64.554,117.9629487991333
  5, 67.730, 0.890, 69.004,146.93651366233826
  6, 74.720, 0.801, 72.585,176.12886357307434
  7, 75.620, 0.735, 74.713,205.28027772903442
  8, 79.610, 0.694, 76.218,234.51753163337708
  9, 80.490, 0.646, 78.245,263.5906181335449
 10, 80.650, 0.619, 78.959,293.04464983940125
 11, 81.000, 0.595, 79.671,322.1319010257721
 12, 83.160, 0.570, 80.712,351.25222086906433
 13, 82.360, 0.547, 81.514,380.13732528686523
 14, 79.220, 0.525, 82.400,409.1251997947693
 15, 83.330, 0.518, 82.631,438.422833442688
 16, 82.410, 0.502, 83.172,467.48709082603455
 17, 84.080, 0.486, 83.497,496.61022686958313
 18, 82.880, 0.468, 84.205,525.8524489402771
 19, 84.280, 0.462, 84.528,555.428302526474
 20, 84.320, 0.450, 84.713,584.9324133396149
 21, 85.480, 0.435, 85.260,614.2337658405304
 22, 84.470, 0.430, 85.447,643.2403824329376
 23, 85.750, 0.424, 85.761,672.5108742713928
 24, 85.730, 0.410, 86.016,701.5905666351318
 25, 85.560, 0.410, 86.123,730.6502320766449
 26, 84.530, 0.401, 86.507,759.5356411933899
 27, 85.360, 0.391, 86.677,788.4881112575531
 28, 85.440, 0.385, 87.048,817.6246867179871
 29, 86.870, 0.383, 87.127,847.2596166133881
 30, 89.560, 0.297, 90.095,876.3231863975525
 31, 89.830, 0.269, 90.976,905.8139400482178
 32, 89.920, 0.261, 91.222,935.3386971950531
 33, 89.830, 0.256, 91.277,964.1749262809753
 34, 90.020, 0.247, 91.699,993.33735704422
 35, 89.990, 0.246, 91.692,1022.2333834171295
 36, 90.230, 0.242, 91.777,1051.5001373291016
 37, 90.120, 0.236, 92.078,1080.3313992023468
 38, 90.190, 0.234, 92.128,1109.4103813171387
 39, 90.390, 0.233, 92.152,1138.7425293922424
 40, 90.430, 0.226, 92.430,1167.925855398178
 41, 90.500, 0.227, 92.282,1197.4504299163818
 42, 90.560, 0.222, 92.497,1226.6510653495789
 43, 90.310, 0.222, 92.516,1255.5091972351074
 44, 90.310, 0.220, 92.492,1284.6985063552856
 45, 90.320, 0.218, 92.513,1313.5457587242126
 46, 90.420, 0.216, 92.637,1342.635038614273
 47, 90.600, 0.209, 92.916,1371.798269033432
 48, 90.760, 0.207, 92.929,1400.8524498939514
 49, 90.470, 0.209, 93.009,1429.803739309311
 50, 90.820, 0.210, 93.005,1459.975388765335
