epoch,accuracy,train_loss,train_acc,time
  1, 86.450, 0.592, 77.959,56.480942726135254
  2, 89.210, 0.343, 87.642,111.8473846912384
  3, 89.980, 0.292, 89.536,165.43882179260254
  4, 90.970, 0.262, 90.672,220.73024582862854
  5, 91.410, 0.244, 91.274,277.52855610847473
  6, 91.700, 0.226, 91.976,333.0612635612488
  7, 91.390, 0.216, 92.396,386.79518580436707
  8, 91.800, 0.209, 92.565,443.1026682853699
  9, 91.970, 0.201, 92.926,499.99827909469604
 10, 92.440, 0.194, 93.002,556.4206025600433
 11, 92.580, 0.186, 93.424,612.6108837127686
 12, 92.400, 0.181, 93.712,666.5130589008331
 13, 92.920, 0.176, 93.777,722.5425825119019
 14, 92.390, 0.173, 93.920,781.3263211250305
 15, 92.520, 0.168, 93.939,839.4476225376129
 16, 92.620, 0.163, 94.288,897.9509987831116
 17, 92.940, 0.159, 94.490,954.3387820720673
 18, 92.970, 0.160, 94.344,1010.1927826404572
 19, 92.680, 0.154, 94.521,1065.5929102897644
 20, 92.410, 0.150, 94.667,1120.64919424057
 21, 92.750, 0.150, 94.643,1176.6995918750763
 22, 93.300, 0.144, 94.956,1232.6879441738129
 23, 92.960, 0.144, 94.981,1288.8030474185944
 24, 93.200, 0.140, 95.045,1345.620943069458
 25, 93.130, 0.141, 95.028,1401.466869354248
 26, 93.430, 0.136, 95.208,1455.7964165210724
 27, 93.170, 0.137, 95.196,1512.2350537776947
 28, 93.250, 0.131, 95.428,1568.2409658432007
 29, 93.240, 0.128, 95.535,1624.5637476444244
 30, 93.880, 0.091, 96.921,1681.2469973564148
 31, 93.870, 0.079, 97.311,1737.7559463977814
 32, 93.880, 0.074, 97.562,1794.3050305843353
 33, 93.930, 0.072, 97.583,1850.5905797481537
 34, 93.870, 0.067, 97.754,1906.6481285095215
 35, 93.940, 0.066, 97.788,1963.4685213565826
 36, 93.900, 0.063, 97.903,2019.1919212341309
 37, 94.020, 0.059, 98.079,2075.1441855430603
 38, 93.940, 0.058, 98.100,2131.5848689079285
 39, 94.020, 0.058, 98.119,2187.9720582962036
 40, 93.900, 0.055, 98.211,2242.5314865112305
 41, 93.920, 0.054, 98.283,2298.83300948143
 42, 94.110, 0.052, 98.256,2354.506155014038
 43, 94.240, 0.051, 98.380,2410.433543920517
 44, 94.150, 0.048, 98.489,2466.578739643097
 45, 94.120, 0.048, 98.419,2522.2953917980194
 46, 94.140, 0.047, 98.482,2578.2446858882904
 47, 93.980, 0.047, 98.485,2634.129152059555
 48, 93.910, 0.042, 98.660,2689.4762468338013
 49, 93.980, 0.046, 98.460,2743.627562046051
 50, 94.040, 0.041, 98.699,2799.379978656769
