epoch,accuracy,train_loss,train_acc,time
  1, 95.430, 0.275, 91.194,69.08230209350586
  2, 97.940, 0.070, 98.056,138.76545524597168
  3, 99.060, 0.052, 98.647,208.71424674987793
  4, 99.110, 0.040, 98.969,279.6391222476959
  5, 99.190, 0.032, 99.173,349.90136671066284
  6, 99.290, 0.029, 99.265,418.4474687576294
  7, 99.260, 0.028, 99.332,486.8856747150421
  8, 99.340, 0.025, 99.443,557.4703822135925
  9, 99.230, 0.024, 99.503,625.6818234920502
 10, 99.410, 0.020, 99.557,696.5663561820984
 11, 99.280, 0.020, 99.560,765.1777000427246
 12, 99.290, 0.017, 99.658,835.871524810791
 13, 99.300, 0.018, 99.627,905.2146716117859
 14, 99.430, 0.017, 99.636,974.728734254837
 15, 99.430, 0.016, 99.708,1043.3695185184479
 16, 99.210, 0.016, 99.694,1111.5663378238678
 17, 99.350, 0.016, 99.724,1180.3574087619781
 18, 99.400, 0.014, 99.772,1249.050095796585
 19, 99.440, 0.015, 99.736,1319.2027883529663
 20, 99.340, 0.014, 99.748,1390.023453950882
 21, 99.560, 0.014, 99.748,1459.3840870857239
 22, 99.270, 0.012, 99.798,1527.779405593872
 23, 99.250, 0.013, 99.826,1595.9097833633423
 24, 99.480, 0.012, 99.826,1664.1346604824066
 25, 99.240, 0.011, 99.853,1732.5399374961853
 26, 99.400, 0.012, 99.823,1803.7597579956055
 27, 99.410, 0.013, 99.820,1872.3951325416565
 28, 99.130, 0.010, 99.921,1940.8197619915009
 29, 99.270, 0.012, 99.838,2009.0262250900269
 30, 99.550, 0.006, 100.013,2079.661192178726
 31, 99.550, 0.003, 100.110,2148.552738904953
 32, 99.540, 0.003, 100.124,2216.882111787796
 33, 99.560, 0.002, 100.139,2286.7039980888367
 34, 99.550, 0.002, 100.160,2355.224779844284
 35, 99.540, 0.003, 100.134,2424.376642227173
 36, 99.550, 0.002, 100.139,2494.5543236732483
 37, 99.580, 0.002, 100.152,2564.556482076645
 38, 99.540, 0.002, 100.161,2634.3909044265747
 39, 99.540, 0.002, 100.169,2705.8408846855164
 40, 99.560, 0.002, 100.157,2774.4623036384583
 41, 99.530, 0.002, 100.172,2842.9528455734253
 42, 99.580, 0.001, 100.169,2914.418027639389
 43, 99.560, 0.002, 100.165,2983.65850687027
 44, 99.530, 0.001, 100.187,3052.54177570343
 45, 99.570, 0.001, 100.172,3120.8511588573456
 46, 99.560, 0.001, 100.177,3188.970468521118
 47, 99.560, 0.001, 100.184,3257.3585917949677
 48, 99.570, 0.001, 100.184,3325.7688279151917
 49, 99.550, 0.002, 100.169,3394.5000858306885
 50, 99.540, 0.001, 100.184,3465.589679956436
